"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
NA,"PNT1100350",53,606,"CADE27",""
NA,"PNT1100023",41,607,"PIPO",""
NA,"PNT1100023",51,608,"PIPO",""
NA,"PNT1100023",62,609,"PIPO",""
NA,"PNT1100023",75.5,610,"PIPO",""
NA,"BST1100117",60,611,"ABCO",""
NA,"BST1100117",53,612,"ABCO",""
NA,"BST1100117",42.3,613,"ABCO",""
NA,"BST1100117",41.5,614,"ABCO",""
NA,"PNT1100272",103.5,615,"PSME",""
NA,"PNT1100270",27,616,"PSME",""
NA,"PNT1100270",68,617,"QUKE",""
NA,"PNT1100037",78,618,"PSME",""
NA,"PNT1100137",87,619,"LIDE3",""
NA,"PNT1100137",41,620,"LIDE3",""
NA,"PNT1100137",49,621,"QUKE",""
NA,"PNT1100137",18.4,622,"ABCO",""
NA,"PNT1100137",22.8,623,"LIDE3",""
NA,"BST1100143",22,624,"ABCO",""
NA,"PNT1100203",31.5,625,"PSME",""
NA,"PNT1100062",64,626,"PSME",""
NA,"PNT1100062",105.6,627,"PIPO",""
NA,"PNT1100106",50,628,"PSME",""
NA,"PNT1100106",39,629,"PSME",""
NA,"PNT1100106",21,630,"PSME",""
NA,"PNT1100106",23,631,"PSME",""
NA,"PNT1100106",10,632,"CADE27",""
NA,"PNT1100106",20,633,"PSME",""
NA,"BST1100312",35.5,634,"ABMA",""
NA,"BST1100312",58.8,635,"ABCO",""
NA,"BST1100312",43.7,636,"ABMA",""
NA,"PNT1100061",33,637,"PSME",""
NA,"PNT1100061",34,638,"CADE27",""
NA,"PNT1100061",33,639,"QUCH2",""
NA,"PNT1100061",71.2,640,"PSME",""
NA,"PNT1100061",117.5,641,"PSME",""
NA,"BST1100333",39,642,"ABMA",""
NA,"BST1100353",72.2,643,"ABMA",""
NA,"BST1100353",101.8,644,"ABMA",""
NA,"RAL1100180",13,645,"QUKE",""
NA,"RAL1100180",18.2,646,"QUKE",""
NA,"RAL1100180",16.1,647,"QUKE",""
NA,"RAL1100143",21.4,648,"PIPO",""
NA,"RAL1100143",21.4,649,"QUKE",""
NA,"RAL1100143",30.1,650,"QUKE",""
NA,"RAL1100143",31.3,651,"QUKE",""
NA,"RAL1100143",27,652,"QUKE",""
NA,"RAL1100143",10.6,653,"PSME",""
NA,"RAL1100143",25.2,654,"QUKE",""
NA,"BST1100313",62.5,655,"ABMA",""
NA,"RAL1100058",64.1,656,"CADE27",""
