"ID","Regen_Plot","OldPLOTID","Count_total","X0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts","X11yr","X12yr","X13yr","X14yr","X15yr","X16yr","X17yr","X18yr","X19yr","X20.yr","unk_yr","quadrants","x21yr","x22yr","x23yr","x24yr","x25yr","x26yr"
3214,"SPA1010010",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,"H","QUCH2",NA,"S",3,13,7,"",NA,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,0
3215,"SPA1010009",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"C","PIPO",NA,"S",8,80,8,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3216,"SPA1010011",NA,7,NA,2,2,NA,2,1,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",5,30,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3217,"SPA1010011",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",NA,"S",4,16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3218,"SPA1010013",NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"C","ABCO",NA,"S",8,50,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,"SPA1010013",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",2,7,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3220,"SPA1010015",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"C","ABMA",NA,"S",8,40,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3221,"SPA1010015",NA,5,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,"C","ABCO",NA,"S",9,50,6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3222,"SPA1010016",NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"C","ABCO",NA,"S",11,130,6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3223,"SPA1010016",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"C","ABMA",NA,"S",8,44,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3224,"SPA1010017",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"C","CADE27",NA,"S",5,20,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
