"ID","Regen_Plot","DBH..cm.","type","Species","X3.yr","X4yr","X5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts","age","possibly_survived_fire"
240,"PNT1000134","4","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",400,8,NA,NA,NA,NA
241,"PNT1000134","8.2","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",470,9,NA,NA,NA,NA
242,"PNT1000134","6.5","c","PSME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",500,8,NA,NA,NA,NA
243,"PNT1000134","5.1","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",480,7,NA,NA,NA,NA
244,"PNT1000134","13.5","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",500,10,NA,NA,NA,NA
246,"PNT1000076","5.5","c","PIPO",NA,NA,NA,NA,1,NA,NA,NA,NA,"P",300,7,NA,0,NA,NA
251,"PNT1000076","1.9","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",240,7,NA,0,NA,NA
254,"PNT1000076","2","c","PSME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
257,"PNT1000024","5","c","PIPO",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",300,7,NA,0,NA,NA
263,"PNT1000078","1.6","c","PSME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",240,8,NA,0,NA,NA
271,"PNT1000039","1.1","h","ARME",NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",220,NA,NA,4,NA,NA
281,"PNT1000095",".3","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",180,8,NA,0,NA,NA
284,"PNT1000122","1.25","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,2,NA,NA
287,"PNT1000122",".8","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,1,NA,NA
289,"PNT1000122",".8","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
290,"PNT1000054","8.4","c","CADE27",NA,NA,NA,NA,NA,NA,NA,NA,1,"S",400,11,NA,0,NA,NA
291,"PNT1000054","1","c","CADE27",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,0,NA,NA
292,"PNT1000054",".6","c","CADE27",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",190,10,NA,0,NA,NA
294,"PNT1000054","3.4","c","CADE27",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",300,9,NA,0,NA,NA
295,"PNT1000054","7.4","c","CADE27",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",320,10,NA,0,NA,NA
296,"PNT1000054","5.4","c","CADE27",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",300,10,NA,0,NA,NA
298,"PNT1000015","1.6","c","PILA",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",250,7,NA,0,NA,NA
304,"PNT1000112",".6","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",180,7,NA,7,NA,NA
306,"PNT1000112",".3","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",120,7,NA,5,NA,NA
307,"PNT1000112","1.3","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",180,8,NA,2,NA,NA
308,"PNT1000064","10.2","c","PIPO",NA,NA,NA,NA,NA,1,NA,NA,NA,"P",420,8,NA,0,NA,NA
311,"PNT1000064","1.0","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",160,5,NA,0,NA,NA
315,"PNT1000040","1.5","h","CONU4",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",250,7,NA,0,NA,NA
316,"PNT1000040","8.7","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"P",400,10,NA,0,NA,NA
317,"PNT1000040","12.3","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"P",450,10,NA,0,NA,NA
318,"PNT1000040","10.9","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"P",500,10,NA,0,NA,NA
