"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3"
"CUB1300200",2443,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"7/17/13","NAD83 UTM zone 10",630381.44,4451141.66,356,25,"GRANITE","",0.5,0.5,0.5,89,10,1,0.5,0,0,0.5,5,0,"1",5,"",NA,NA,0.5,5,8,0,8,"BAF 40",0.5,1,0.5,40,320,0,320,40,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300215",2444,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"1015 NO","NAD83 UTM zone 10",630575.65,4451353.95,38,30,"GRANITE","",0,5,1,89,5,5,0,0,0,50,4,50,"1",3,"",NA,NA,1,2.5,6,3,3,"",0,5,50,20,120,60,60,15,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300216",2445,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"999 NO","NAD83 UTM zone 10",630585.22,4451149.68,10,40,"GRANITE","",5,20,0.5,55,20,1,0.5,0,0,0.5,20,0,"1",5,"",NA,NA,0,3,15,0,15,"BAF 40",0.5,2,0.5,40,600,0,600,15,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300220",2446,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1046 NO","NAD83 UTM zone 10",630728.79,4452953.51,250,35,"GRANITE","",4,12,0.5,75,9,50,5,5,0,0.5,25,0,"1",4,"",NA,NA,0.5,2,7,0,7,"BAF 40",10,60,0.5,40,280,0,280,75,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300221",2447,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1045 NO","NAD83 UTM zone 10",630740.97,4452776.52,1,42,"GRANITE","",1,7,0.5,89,3,25,20,0,0,1,10,0,"1",5,"",NA,NA,0,3,6,0,6,"BAF 40",20,45,1,40,240,0,240,40,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300229",2448,"CUB","7/17/2013 0:00:00","CP, MS ,NO",2008,"998 NO","NAD83 UTM zone 10",630781.7,4451155.39,360,40,"GRANITE","",8,10,0.5,80,2,24,40,0.5,0,0,0,0,"1",4,"",NA,NA,0,0.5,8,1,7,"BAF 5",40,64,0,5,40,5,35,23,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300233",2449,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1042 NO","NAD83 UTM zone 10",630924.34,4453157.63,340,10,"GRANITE","",3,0.5,0.5,77,20,30,3,0,0,2,1,0,"1",5,"",NA,NA,0,3,6,0,6,"BAF 40",3,35,2,40,240,0,240,80,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300234",2450,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1043 NO","NAD83 UTM zone 10",630926.44,4452957.16,304,30,"GRANITE","",0.5,5,0.5,60,35,50,5,0,0,1,0,0,"1",5,"",NA,NA,0,3,8,0,8,"BAF 40",5,55,1,40,320,0,320,65,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300235",2451,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1044 NO","NAD83 UTM zone 10",630937.05,4452755.68,305,47,"GRANITE","",2,5,0.5,88,5,20,70,1,0,2,27,0,"1",5,"",NA,NA,0,2,6,0,6,"",70,80,2,20,120,0,120,80,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300247",2452,"CUB","7/24/2013 0:00:00","MS, NO",2008,"1041 NO","NAD83 UTM zone 10",631123.69,4453160.33,354,30,"GRANITE","",0.5,15,0.5,72,12,45,10,0,0,7,6,0,"1",5,"",NA,NA,0.5,2,10,0,10,"",10,50,7,20,200,0,200,60,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
