"Regen_Plot","firesev","dist.to.low"
"FRD1100024",1,0
"FRD1100025",2,0
"FRD0900133",3,1.63757968740538
"FRD1200022",3,0
"FRD1200031",3,0
"FRD1200033",4,36.8713856764892
"FRD1200034",3,0
"FRD1200035",2,6.96909076077624
"FRD1200047",2,0
"FRD1200048",3,0
"FRD1200049",3,4.34796553663909
"FRD1200050",2,0
"FRD1200060",4,31.9670881153289
"FRD1200061",3,0
"FRD1200062",3,6.08792436433428
"FRD1200063",4,54.8254338265397
"FRD1200065",3,6.23305354919285
"FRD1200070",4,19.9069854129806
"FRD1200079",4,15.9428957477924
"FRD1200080",4,53.1757512823572
"FRD1200082",3,14.1419916245105
"FRD1200083",3,8.82421803243767
"FRD1200084",4,30
"FRD1200085",4,80.6958760920264
"FRD1200090",2,0
"FRD1200092",3,0
"FRD1200093",4,29.4208490793855
"FRD1200099",4,30.9375799104004
"FRD1200102",0,0
"FRD1200103",3,9.43316764617339
"FRD1200104",3,0
"FRD1200105",4,27.6250958573073
"FRD1200106",2,0
"FRD1200107",4,30.0727694681061
"FRD1200109",1,0
"FRD1200117",0,0
"FRD1200123",1,0
"FRD1200124",2,0
"FRD1200125",4,28.754668562673
"FRD1200126",0,0
"FRD1200130",0,0
"FRD1200134",1,0
"FRD1200135",1,0
"FRD1200183",2,0
"FRD1200185",0,0
"FRD1200229",3,0
"FRD1200268",3,0
"FRD1200269",4,22.3655853321662
"FRD1200270",2,0
"FRD1200271",2,0
"FRD1200302",3,5.80076192509328
"FRD1200032",3,0
"FRN1200002",0,0
"FRN1200008",0,0
"FRN1200013",1,0
"FRN1200017",2,0
"FRN1200018",2,0
"FRN1200019",3,0
"FRN1200024",4,18.0028595531271
"FRN1200028",1,0
"FRN1200030",1,0
"FRN1200034",4,41.107939602518
"FRN1200035",2,0
"FRN1200036",2,0
"FRN1200041",4,30
"FRN1200043",4,25.5365696100673
"FRN1200044",1,0
"FRN1200049",4,17.2729740174198
"FRN1200051",2,0
"FRN1200063",2,0
"FRN1200070",3,0
"FRN1200090",3,0
"FRN1200091",3,3.55301515744024
"FRN1200097",1,0
"FRN1200131",4,71.9240022353965
"FRN1200132",1,0
"FRN1200136",0,0
"FRN1200138",2,0
"FRN1200172",4,31.2902579272467
"FRN1200180",4,17.3722354588099
"FRN1200184",1,0
"FRN1200186",0,0
"FRN1200221",3,0
"FRN1200225",4,53.6470827893621
"FRN1200231",2,0
"FRN1200305",2,0
"FRN1200307",3,0
"FRN1200322",4,33.6068996938077
"FRN1200324",4,25.9031754969619
"FRN1200376",3,0
"FRN1200377",4,25.5638041153654
"FRN1200378",3,0
"FRN1200382",4,58.1689342693426
"FRN1200394",4,33.0413766955022
"FRN1200398",3,13.0014166196343
"FRN1200014",2,0
"FRN1200015",2,0
"FRN1200016",3,0
"FRN1200026",2,0
"FRN1200037",3,0
"FRN1200038",3,0
"FRN1200039",2,0
"FRD1200030",4,38.1556013807007
"FRD1200056",3,12.5771186936879
"FRD1200058",2,0
"FRD1200064",3,9.20794317804667
"FRD1200066",3,0
"FRD1200067",4,85.7002034471378
"FRD1200069",4,28.0498663857783
"FRD1200071",3,6.85342073813081
"FRD1200108",0,0
"FRD1200111",1,0
"FRD1200133",2,0
"FRD1200140",4,28.4356857644094
"FRN1200007",2,0
"FRN1200025",0,0
"FRN1200027",2,0
"FRN1200029",1,0
"FRN1200137",1,0
"FRN1200143",0,0
"FRN1200226",4,26.7875958308724
"FRN1200230",3,0
"FRN1200232",2,0
"FRN1200306",3,0
"FRN1200308",2,0
"FRN1200323",2,0
"FRN1200325",2,20.8115615095009
"FRN1200329",2,0
"FRN1200358",3,0
"FRN1200360",2,0
"FRN1200395",4,33.6742722477427
"FRN1200397",3,0
"FRN1200399",3,1.10548362654856
"DEP0900011",4,33.0477056554519
"DEP0900027",4,68.6952619192097
"DEP0900028",4,67.2767665267905
"DEP0900031",4,64.2321256528371
"DEP0900042",4,28.8866766931049
"DEP0900041",3,0
"DEP0900016",4,25.8685375626186
"DEP0900022",4,53.9350443914241
"DEP0900009",4,57.3882474306913
"DEP0900008",4,45.383681232827
"DEP0900006",4,74.4560116003267
"DEP0900007",2,4.46970995950704
"DEP0900033",4,104.820238965001
"DEP0900032",4,52.254054894441
"DEP0900002",3,3.03931490145624
"DEP0900004",2,0
"DEP0900010",4,89.0747489924543
"DEP0900001",4,31.1482551006244
"DEP0900019",4,25.776382115159
"DEP0900018",4,82.9753609517092
"DEP0900012",1,1.03284404242207
"DEP0900017",4,171.619128481186
"DEP0900023",4,200.919630811429
"SPA1000120",4,33.5597052377486
"SPA1000075",4,27.6093561248591
"SPA1000086",4,189.904093867124
"SPA1000098",1,0
"SPA1000042",2,0.857285073259123
"SPA1000041",4,37.8014015860748
"SPA1000038",4,23.2881798553136
"SPA1000037",3,0
"SPA1000039",3,3.56687731995011
"SPA1000040",4,29.9535057565825
"SPA1000114",3,0
"SPA1000065",3,3.82141077581467
"SPA1000028",4,40.5202414965351
"SPA1000062",4,160.006196441244
"SPA1000108",2,0
"SPA1000061",4,105.806292721313
"SPA1000054",4,153.630460849712
"SPA1000058",3,14.4984114621766
"SPA1000066",3,11.7772690687718
"SPA1000122",4,195.256922030052
"SPA1000121",4,117.473127838152
"SPA1000102",4,258.261035486872
"SPA1000111",4,252.5058393853
"SPA1000030",0,0
"SPA1000031",3,1.05269711162117
"SPA1000020",4,48.5079494910668
"SPA1000025",3,14.1238378526134
"SPA1000016",3,0
"SPA1000015",3,0
"SPA1000032",3,0
"SPA1000024",2,0
"SPA1000044",3,0.705289623700082
"SPA1000033",4,61.4438926873449
"SPA1000034",4,25.9523134172749
"SPA1000045",4,72.9766272320659
"SPA1000021",4,19.9545835284516
"SPA1000026",2,0
"SPA1000022",3,0
"SPA1000027",3,15.195275088407
"SPA1000094",4,291.518061236387
"SPA1000129",3,0
"SPA1000130",3,0
"SPA1000093",4,123.349773913156
"SPA1000085",4,72.5916045228485
"SPA1000074",4,34.3019430916584
"SPA1000119",3,1.18860267977996
"SPA1000043",3,11.5360558577439
"SPA1000051",4,45.9501105391471
"SPA1000059",4,76.5537419697791
"SPA1000067",4,32.7788509116903
"SPA1000178",3,0
"SPA1000167",4,84.5256944463528
"SPA1000166",4,39.4429376189987
"SPA1000171",4,76.9079927123795
"SPA1000174",4,29.338783279923
"SPA1000173",4,65.3628230076749
"SPA1000175",4,95.3175634247295
"SPA1000176",3,0
"SPA1000068",0,0
"SPA1000076",4,66.3687563440715
"SPA1000069",2,0
"SPA1000077",4,47.8827581910551
"SPA1000078",3,2.3405508074696
"SPA1000079",4,33.2130164755508
"SPA1000070",3,0
"SPA1000064",3,5.24322964809835
"SPA1000057",4,33.9141711539667
"SPA1000048",4,30
"SPA1000036",3,0
"SPA1000046",4,32.855954381842
"SPA1000047",4,47.0174823711745
"SPA1000172",3,13.6185142218709
"SPA1000055",4,116.23029316295
"SPA1000056",4,34.5596905429709
"SPA1000177",1,0
"SPA1000124",3,0
"SPA1000135",2,0
"SPA1000134",3,2.13313014572486
"SPA1000145",3,0
"SPA1000156",3,0
"SPA1000117",2,0
"SPA1000136",2,0
"SPA1000115",4,15.1419996151318
"SPA1000118",2,0
"SPA1000099",4,19.3712479904153
"SPA1000107",3,0
"SPA1000089",4,33.2698654874267
"SPA1000088",3,0
"SPA1000087",4,105.679563369263
"SPA1000095",4,126.972056384237
"SPA1000103",4,163.277143053526
"SPA1000123",4,45.8557271782054
"SPA1000105",1,0
"SPA1000113",3,10.9491856056545
"SPA1000104",4,28.9974887679185
"SPA1000096",4,33.1317051085858
"SPA1000106",3,0
"SPA1000080",3,7.35819644946605
"SPA1000097",3,6.18617442296818
"SPA1000063",4,48.2286590361036
"SPA1000071",2,0
"SPA1000092",2,0
"SPA1000084",4,14.6800074834354
"SPA1000090",4,53.2265208486557
"SPA1000091",4,59.086484946632
"SPA1000126",3,5.9337363025145
"SPA1000116",2,0
"SPA1000148",3,9.9917058216725
"SPA1000128",4,54.8826305009193
"SPA1000160",2,0
"SPA1000139",3,0
"SPA1000159",2,0
"SPA1000137",2,0
"SPA1000127",3,0
"SPA1000125",3,0
"SPA1000147",2,0
"SPA1000138",3,0
"SPA1000149",1,0
"SPA1000144",4,25.865306237433
"SPA1000081",3,0.715805774802769
"SPA1000072",2,5.77452264358615
"SPA1000082",4,27.3528192471713
"SPA1000073",3,7.56915944302455
"SPA1000083",4,40.373257760349
"SPA1000131",4,17.4306599477106
"SPA1000132",4,17.7161681177095
"SPA1000143",4,82.2541671212721
"SPA1000142",4,70.9737730610243
"SPA1000150",3,0
"SPA1000161",3,0
"SPA1000141",3,0
"SPA1000140",3,0
"SPA1000050",3,0
"SPA1000049",3,12.8309848015197
"SPA1000001",2,0
"SPA1000002",2,0.112930563883227
"SPA1000003",3,0
"SPA1000004",3,5.5277926861978
"SPA1000005",3,0
"SPA1000035",4,15.6432370860893
"SPA1000052",4,137.989206497905
"SPA1000017",3,12.5119633185677
"SPA1000029",4,70.8489319759604
"SPA1000053",4,17.1451716034616
"SPA1000060",4,86.7758607132301
"SPA1010001",1,0
"SPA1010002",1,0
"SPA1010003",0,0
"SPA1010005",0,0
"SPA1010006",0,0
"SPA1010007",0,0
"SPA1010008",0,0
"SPA1010010",0,0
"SPA1010009",2,0
"SPA1010011",0,0
"SPA1010013",1,0
"SPA1010015",0,0
"SPA1010016",1,0
"SPA1010017",0,0
"SPA1010018",0,0
"SPA1010019",2,0
"HAR1000016",2,0
"HAR1000050",4,24.5236482731998
"HAR1000048",3,4.90979641675949
