Regen_Plot,Fire,fire.year,SHRUB,GRASS,FIRE_SEV,Year,survey.years.post,rad.march,tmean.normal,ppt.normal,diff.norm.ppt.z,diff.norm.ppt.min.z,seed_tree_distance_general,diff.norm.ppt.z.1,diff.norm.tmean.z,diff.norm.tmean.max.z,def.normal,aet.normal,diff.norm.def.z,diff.norm.aet.z,diff.norm.def.max.z,diff.norm.aet.min.z,snow.normal,diff.norm.snow.z,diff.norm.snow.min.z,dominant_shrub_ht_cm,ppt.normal.sq,tmean.normal.sq,snow.normal.sq,FIRE_SEV.cat
PWR0900151,Power,2004,5,5,5,2009,5,7108.49415262285,11.9205922221577,1236.73134684241,0.564638808420453,-0.817979361190609,25,0.564638808420453,-0.100389135838067,0.397680738860792,641.068667849497,659.536500975356,-0.282451905231531,0.336898964927023,0.850904639582695,-0.753961303031201,231.056019342152,0.36782999846358,-0.628727938941283,30,1529504.42426264,142.100518926967,53386.8840742409,high.sev
PWR0900152,Power,2004,10,5,4,2009,5,6912.75998590896,11.9666692767651,1240.0581876568,0.55919717934183,-0.819715709085942,3.02,0.55919717934183,-0.090878024674893,0.405019587149714,639.595432772147,658.924837096316,-0.27381865037509,0.327553817912272,0.852417943012849,-0.750380341449343,240.81862489738,0.389528603419875,-0.570184386796601,55,1537744.30877467,143.201173579474,57993.610097465,high.sev
PWR0900153,Power,2004,11,2,4,2009,5,7241.38741301474,12.1618369238885,1240.27209581911,0.55554051978367,-0.820833536241631,9.94,0.55554051978367,-0.075410499434469,0.410337930507112,638.581638306097,658.483844436372,-0.267869418134406,0.321084056077137,0.853379277287053,-0.747715600599931,247.437929224681,0.403253638386027,-0.532330743459697,NA,1538274.87166753,147.910277363258,61225.5288189982,high.sev
PWR0900160,Power,2004,0.5,15,5,2009,5,7083.68239660477,12.1710068211313,1177.5109061236,0.575953845082127,-0.825185099965429,62.11,0.575953845082127,-0.091462173403872,0.360636126925626,643.282694541192,663.740648923689,-0.312799294195523,0.36470376245139,0.822788823404886,-0.743967596212331,159.750179197553,0.242414308543619,-1.0396339246625,30,1386531.93404002,148.133407040025,25520.1197536503,high.sev
PWR0900164,Power,2004,30,5,5,2009,5,7695.07937033126,12.320186663451,1179.63312025479,0.581012464512407,-0.819493758380693,45.11,0.581012464512407,-0.078672510617706,0.370807738270763,643.782111412358,663.845398051793,-0.317192055765115,0.370904276042284,0.82597049568337,-0.74777461636186,165.563364089509,0.23699651646256,-1.01897666517416,40,1391534.29840205,151.786999422276,27411.2275286353,high.sev
PWR0900165,Power,2004,30,10,5,2009,5,5739.42609643568,12.587710296843,1181.00019807038,0.581372340819094,-0.817632680969408,37.68,0.581372340819094,-0.053758211298198,0.382105084767016,643.927826689171,663.476749414609,-0.315375146650348,0.369762366788295,0.830200072789035,-0.751015048005183,170.29517004761,0.232587090540012,-1.00138392485328,150,1394761.46784228,158.450450517247,29000.4449415444,high.sev
PWR0900169,Power,2004,25,5,5,2009,5,7666.1092232204,12.2365027931749,1208.54495080269,0.575014349110864,-0.816807278322447,20.36,0.575014349110864,-0.094498381598536,0.38419855082332,643.939081526306,661.442945712075,-0.301455519304672,0.356780719171921,0.845596953654444,-0.760225805722498,200.276412871278,0.300281325774522,-0.805680795540042,40,1460580.89811068,149.732000607377,40110.6415525866,high.sev
PWR0900170,Power,2004,45,5,5,2009,5,7685.44065857444,12.2110743241718,1211.56522902174,0.574476335463051,-0.816688837537189,44.53,0.574476335463051,-0.096627696242552,0.384651218942407,643.950047645287,661.26667543753,-0.300343952661438,0.355732742308411,0.846786963216371,-0.760844168888618,203.667220717285,0.309486420194553,-0.782980724100427,30,1467890.3041745,149.110336150448,41480.3367947033,high.sev
PWR0900184,Power,2004,80,5,5,2009,5,6781.99423520199,12.6099072398725,1173.56781690036,0.579917544739289,-0.819378105794485,45.44,0.579917544739289,-0.057397074155277,0.380079708110662,643.840073348922,663.544163152278,-0.314168229104928,0.368873866971037,0.830482173750987,-0.752175144158772,164.021984987655,0.227822329922929,-1.01327613700428,190,1377261.42086428,159.009760598189,26903.2115592905,high.sev
PWR0900188,Power,2004,9,10,4,2009,5,7155.33233618628,12.3496376012866,1195.00264683142,0.573814161988143,-0.81841745159478,54.33,0.573814161988143,-0.085892497702518,0.383261674745332,643.486734773971,661.736678399537,-0.301534766946827,0.356957429258159,0.844063328650349,-0.759447949726471,188.95883153078,0.278716208674341,-0.859378974453537,30,1428031.3259341,152.513548883112,35705.4400134777,high.sev
PWR0900191,Power,2004,1,2,1,2009,5,7304.66142761775,12.436192896657,1201.64527146864,0.57206529761832,-0.8180273694352,3.19,0.57206529761832,-0.081820423261956,0.387138410854075,643.407561181837,661.22359308125,-0.298112683540568,0.353688633966121,0.847546666950685,-0.761044274517119,199.401733503555,0.308217362960905,-0.788807658697423,30,1443951.35844294,154.658893762862,39761.0513242228,control
PWR0900195,Power,2004,1,40,5,2009,5,7157.34240507375,12.5338777206084,1166.74787520353,0.574050003763955,-0.827043797166999,47.2,0.574050003763955,-0.076761186271022,0.363680376808448,643.640278509306,663.6110549947,-0.308747142954881,0.361698594541831,0.826087118951718,-0.749113735494002,149.88562072515,0.227705603029346,-1.0458123887479,30,1361300.60429195,157.098090715164,22465.6993001635,high.sev
PWR0900199,Power,2004,36,20,5,2009,5,5906.55396143551,12.7323884905632,1165.332520721,0.577502513189859,-0.821482183461826,14.92,0.577502513189859,-0.053117019165082,0.381038964318513,643.725807078326,663.422083435194,-0.31123155180845,0.366436976831103,0.832509319897629,-0.754688419937825,157.774422833903,0.220052132438801,-1.02238332730042,230,1357999.88384996,162.113716674626,24892.7685005712,high.sev
PWR0900202,Power,2004,11,20,4,2009,5,7363.3646437176,12.4960760184326,1184.32478792396,0.572134934406512,-0.819957329598561,17.87,0.572134934406512,-0.075946523276367,0.384630524356276,643.108002415994,661.844743536936,-0.300471771320189,0.356085921576888,0.843845625000489,-0.75954595291192,180.84753771895,0.265402414607574,-0.891294873115996,30,1402625.20329113,156.151915858446,32705.831899007,high.sev
PWR0900206,Power,2004,0,10,5,2009,5,7949.01397514249,12.680040679087,1161.53956151825,0.572470741598863,-0.828759825351815,35,0.572470741598863,-0.072852618702577,0.363083371148656,643.82778971998,663.536742326496,-0.305974894934758,0.35914710446204,0.827093410065563,-0.751125035726384,143.694800346535,0.219947700931515,-1.05078768364259,NA,1349174.15297201,160.783431623301,20648.1956466306,high.sev
PWR0900207,Power,2004,40,5,4,2009,5,7324.70220654756,12.7150255406804,1161.35756096899,0.573084940964516,-0.827986132625338,6,0.573084940964516,-0.06923712800816,0.365125305736081,643.818979244322,663.545441902748,-0.306705420100662,0.360172985957068,0.827727167699737,-0.75167669401835,144.930835408259,0.219674745874185,-1.04862515409806,30,1348751.38441984,161.671874500155,21004.9470521359,high.sev
PWR0900209,Power,2004,37,10,5,2009,5,7165.64417129684,12.8463905371109,1160.89672130402,0.574884183925281,-0.825654931081143,18,0.574884183925281,-0.05480193168534,0.372760112827571,643.810692184949,663.563647064585,-0.308802374679818,0.363205905284969,0.829753648841699,-0.753507175137768,148.326895482237,0.21804988809121,-1.04154196240169,175,1347681.19753442,165.029749831972,22000.8679233985,high.sev
PWR0900215,Power,2004,31,10,4,2009,5,7349.03449208521,12.9064188520549,1155.49255933345,0.5719501970157,-0.829123339180604,6,0.5719501970157,-0.061769098541951,0.366216942330826,644.023890684152,663.472293403123,-0.304350523523279,0.358341334614022,0.829431252727652,-0.754421136962858,139.279145359701,0.210254435839972,-1.05161591803667,30,1335163.05467497,166.575647584678,19398.6803321287,high.sev
PWR0900222,Power,2004,89,5,5,2009,5,5904.236767456,12.5344707084852,1155.96294537071,0.572223097318045,-0.823986447674147,24.37,0.572223097318045,-0.072103584392538,0.381104422529482,643.174700932865,662.802817507897,-0.303840428448022,0.359820761494024,0.838529942120363,-0.759142963737045,152.469965120764,0.206948030826212,-1.0275148967817,40,1336250.33107013,157.112955941873,23247.090263927,high.sev
PWR0900224,Power,2004,10,30,4,2009,5,5766.37248571389,12.2061081524855,1160.45992506296,0.570242167156335,-0.823543109273127,13.46,0.570242167156335,-0.095069264972706,0.379461218282923,642.789470883367,662.344546315364,-0.300485229628963,0.356538030916888,0.841687311339426,-0.759996162403251,156.324862723711,0.208264282365407,-1.01414589389805,30,1346667.23767713,148.989076230173,24437.4627055871,high.sev
PWR0900225,Power,2004,25,5,4,2009,5,6193.53004371791,12.3994388443886,1162.13956092994,0.569589277199361,-0.823359746512937,1.42,0.569589277199361,-0.082703879857812,0.382645052978049,642.663423707511,662.187982737476,-0.299369873592235,0.355438535300615,0.842728014545672,-0.760237187803613,160.191971378259,0.221622105825637,-0.986451799692108,30,1350568.35907843,153.746083655733,25661.467694053,high.sev
PWR0900236,Power,2004,41,15,4,2009,5,7075.32399313025,12.3180485601266,1155.79380189296,0.568086937989678,-0.825072733191852,16.19,0.568086937989678,-0.085673543961079,0.383172185250976,642.504091816649,662.264359416436,-0.298190620651407,0.354551419543557,0.842918110405086,-0.761195708845789,151.303370096594,0.202433101242281,-1.02394817806668,30,1335859.31249418,151.734320329637,22892.7098025869,high.sev
PWR0900242,Power,2004,40,20,5,2009,5,6503.17722290664,13.2061715577915,1149.05440525544,0.570566020753151,-0.829962408866596,60,0.570566020753151,-0.032107887199785,0.379433997497179,644.152407716699,663.320491594046,-0.301679448621124,0.357213179654416,0.833953705411565,-0.760139347345452,132.286921814336,0.192771473517432,-1.05474966551353,130,1320326.02623693,174.402967213821,17499.8296831122,high.sev
PWR0900244,Power,2004,18,27,5,2009,5,7261.50452746826,13.2540436566098,1148.56889092218,0.570934590230334,-0.829106341624678,15,0.570934590230334,-0.02326341554922,0.384444703308293,643.940920499154,663.301869929703,-0.302749702009713,0.358782749672765,0.835301686576787,-0.760954350951698,134.544378570809,0.193091811471701,-1.0537125533422,30,1319210.49719421,175.669673251318,18102.1898050052,high.sev
PWR0900247,Power,2004,2,78,4,2009,5,5014.91645751817,13.0745255909673,1146.55292671388,0.569221611155972,-0.831728782018606,15,0.569221611155972,-0.048739428815551,0.37425689742861,644.550752946635,663.261617370223,-0.298626728834496,0.354190120383071,0.834173567090039,-0.761784076663025,125.078740742599,0.182008018822934,-1.0564207258729,150,1314583.61375616,170.943219428859,15644.6913857543,high.sev
PWR0900248,Power,2004,45,5,4,2009,5,5745.11793313023,13.1819088406432,1146.61976143099,0.569271455925364,-0.831435383363176,10,0.569271455925364,-0.036449181957217,0.378785374826789,644.408957571969,663.249386668919,-0.299090577472038,0.354882121153699,0.834862011609628,-0.762151745505541,126.194199200468,0.182541976339724,-1.05716085822621,20,1314736.87730406,173.762720683027,15924.9759118474,high.sev
PWR0900258,Power,2004,70,5,4,2009,5,5601.32293765493,13.2809777339296,1143.91746435481,0.567703906005285,-0.83153288274018,6.47,0.567703906005285,-0.013629392260015,0.393215474612068,643.685902023336,663.082218357942,-0.299068179032668,0.356401845619452,0.839920392661407,-0.766111950205072,126.780294161936,0.175416474865974,-1.06346449550525,180,1308547.16525594,176.384369569134,16073.242987787,high.sev
PWR0900259,Power,2004,50,15,5,2009,5,5615.23234353448,12.9062435101543,1145.7611600896,0.565601065764762,-0.830812679093793,70.38,0.565601065764762,-0.040517213500921,0.392868061363727,642.909710509909,662.715753665954,-0.296684453046431,0.354107324347837,0.842535213765278,-0.765859491839848,130.264824555109,0.177033896211936,-1.06369750162456,195,1312768.63596987,166.5711215434,16968.9245163733,high.sev
PWR0900262,Power,2004,40,10,5,2009,5,6996.49972732183,12.5573308331964,1164.6665078266,0.546663551705384,-0.839188482241778,26.56,0.546663551705384,-0.099968956659793,0.329821035669892,648.534777461391,663.76141303313,-0.278536777519421,0.332269687963762,0.844254878172141,-0.787211466465401,80.7729355318334,0.108517443974111,-0.971597486022585,200,1356448.07445301,157.686557654345,6524.26711442971,high.sev
PWR0900266,Power,2004,5,40,4,2009,5,6679.44328971782,13.1642685766473,1141.05760932186,0.567264403830069,-0.833622052926674,5,0.567264403830069,-0.040449925217418,0.379759266422897,644.929721585573,663.108279581617,-0.294596077185385,0.351201346876689,0.837283824478892,-0.766713472969504,115.066597805337,0.159316692129195,-1.05722383258028,120,1302012.46779132,173.297967158104,13240.3219304952,high.sev
PWR0900274,Power,2004,95,0.5,5,2009,5,5533.31232962418,13.2378200422489,1141.33510624224,0.56628048267863,-0.834564259235361,10,0.56628048267863,-0.026641609348873,0.385086819475795,645.112531092427,663.030788291162,-0.292594467226365,0.349719996988628,0.838849483031271,-0.769170163306556,110.108868840849,0.146978522289516,-1.05658964901569,40,1302645.82474099,175.239879470967,12123.9629974113,high.sev
PWR0900281,Power,2004,10,10,4,2009,5,7077.93080421082,12.9114364024435,1151.09771570462,0.55078407667406,-0.836657609305455,27.67,0.55078407667406,-0.065758328294084,0.347563264236495,650.962548649303,663.264551988097,-0.274825147210478,0.330617481259521,0.845494278622186,-0.793112894111368,61.9662022709575,0.035128053308899,-0.879790547351749,30,1325025.95110039,166.705189974343,3839.81022388522,high.sev
