plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_ABCO,count_ABMA,count_PICO,count_PILA,count_PSME,count_PIPJ,plot_size_ABCO,plot_size_ABMA,plot_size_PICO,plot_size_PILA,plot_size_PSME,plot_size_PIPJ
CHI2220,DJNY,-121.11082999999999,40.16193000000001,2012,2017,5,85,high,60,12,8,0,3,0,0,0,0,1,15,60,60,60,60,60
CHI2277,DJNY,-121.10726999999999,40.08452,2012,2016,4,26,high,NA,0.5,15,0,0,0,0,0,0,0,60,60,60,60,60,60
CHI2333,DJNY,-121.10257000000001,40.082739999999994,2012,2016,4,46,high,30,4,26,0,1,0,0,0,12,0,15,60,60,60,15,60
CHI2428,DJNY,-121.09685000000002,40.16746999999998,2012,2017,5,27,high,49,2,0.5,7,5,0,0,5,9,1,15,60,60,15,15,60
CHI2475,DJNY,-121.09495000000001,40.16948999999995,2012,2017,5,61,high,93,0.5,2,0,7,0,0,0,1,1,15,60,60,60,15,60
CUB,DJNY,-121.44253,40.21526000000005,2008,2016,8,17.9,high,45,0.5,0.5,0,14,1,0,0,0,0,15,15,60,60,60,60
CUB0260,DJNY,-121.45204999999999,40.220550000000046,2008,2016,8,130,high,85,0.5,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
CUB0264,DJNY,-121.45207000000002,40.222329999999964,2008,2016,8,15,high,55,0,0.5,0,83,0,0,0,0,0,15,60,60,60,60,60
CUB0265,DJNY,-121.45197,40.21875000000003,2008,2016,8,25,high,90,0.5,0.5,0,7,0,0,0,0,1,15,60,60,60,60,60
CUB0275,DJNY,-121.44969,40.217090000000034,2008,2016,8,7,high,0,0,0,0,49,0,0,19,0,0,15,60,60,15,60,60
CUB0277,DJNY,-121.44965000000002,40.21881999999998,2008,2016,8,64,high,85,0,0.5,0,6,0,0,0,0,1,15,60,60,60,60,60
CUB0278,DJNY,-121.44968000000001,40.22237999999998,2008,2016,8,142,high,50,0,0.5,0,5,0,0,0,0,0,15,60,60,60,60,60
CUB0279,DJNY,-121.44947000000002,40.213399999999965,2008,2016,8,71,high,60,0,1,0,14,6,0,2,0,0,15,15,60,15,60,60
CUB0280,DJNY,-121.44965000000002,40.22061000000001,2008,2016,8,65,high,75,0,0.5,0,4,1,0,0,0,0,15,15,60,60,60,60
CUB0300,DJNY,-121.44466000000001,40.20262,2008,2016,8,34,high,15,3,2,0,2,0,0,0,0,0,15,60,60,60,60,60
CUB0361,DJNY,-121.44238,40.20623000000001,2008,2016,8,23,high,80,1,3,0,16,0,0,8,0,0,15,60,60,15,60,60
CUB0363,DJNY,-121.44247,40.21341000000003,2008,2016,8,33.6,high,95,0,1,0,1,0,0,0,0,0,15,60,60,60,60,60
CUB0364,DJNY,-121.44233999999999,40.208050000000014,2008,2016,8,38.2,high,80,0,0,0,5,0,0,3,0,0,15,60,60,15,60,60
CUB0365,DJNY,-121.44241,40.21166999999997,2008,2016,8,115,high,85,0.5,0.5,0,0,0,0,1,0,0,60,60,60,15,60,60
CUB0366,DJNY,-121.44281,40.233270000000026,2008,2016,8,83.2,high,95,0,1,0,3,0,0,1,0,0,15,60,60,15,60,60
CUB0384,DJNY,-121.44013000000001,40.213490000000036,2008,2016,8,52.7,high,75,0,0,0,7,0,0,6,0,0,15,60,60,15,60,60
CUB0477,DJNY,-121.43356000000001,40.24239999999999,2008,2016,8,23.5,high,65,2,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
PEA0107,DJNY,-120.40437,40.027629999999974,2012,2016,4,NA,high,2,0.5,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
PEA0121,DJNY,-120.40202,40.029419999999966,2012,2016,4,70,high,50,35,0.5,10,0,0,0,0,0,0,60,60,60,60,60,60
PEA0124,DJNY,-120.3997,40.02765999999999,2012,2016,4,102,high,5,85,0,0,0,0,0,0,0,0,60,60,60,60,60,60
PEA0125,DJNY,-120.39967000000001,40.02941999999996,2012,2016,4,160,high,55,15,0,0,0,0,0,0,0,1,60,60,60,60,60,60
PEA0141,DJNY,-120.39722000000002,40.029610000000005,2012,2016,4,202,high,75,2,8,0,0,0,0,0,0,1,60,60,60,60,60,60
PEA0167,DJNY,-120.39497,40.02773,2012,2016,4,70,high,5,90,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
PEA0176,DJNY,-120.39265000000002,40.02768000000003,2012,2016,4,NA,high,50,30,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
PEA0177,DJNY,-120.39274000000002,40.02597000000003,2012,2016,4,NA,high,25,20,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
PIT0196,DJNY,-121.46282000000001,39.84503,2008,2016,8,6.2,high,10,5,5,0.5,0,0,0,0,0,19,60,60,60,60,60,60
PIT0197,DJNY,-121.46278,39.84679,2008,2016,8,6,high,0,0,0,65,4,0,0,0,0,1,15,60,60,60,60,60
PIT0206,DJNY,-121.46048000000002,39.845010000000045,2008,2016,8,3.5,high,0,3,0.5,10,1,0,0,0,0,1,15,60,60,60,60,60
PIT0226,DJNY,-121.45114000000001,39.846940000000025,2008,2016,8,1.7,high,10,0,0.5,5,2,0,0,1,0,17,15,60,60,15,60,60
PIT0233,DJNY,-121.44883999999999,39.84699999999998,2008,2016,8,53,high,NA,1,5,30,0,0,0,0,0,2,60,60,60,60,60,60
PIT0234,DJNY,-121.44878000000001,39.848780000000005,2008,2016,8,9,high,35,7,8,0,0,0,0,0,0,0,60,60,60,60,60,60
PIT0238,DJNY,-121.44653,39.848819999999975,2008,2016,8,150,high,35,0,0.5,80,0,0,0,0,0,2,60,60,60,60,60,60
PIT0239,DJNY,-121.44650999999999,39.84703999999998,2008,2016,8,13,high,25,0.5,6,0,1,0,0,0,0,58,15,60,60,60,60,60
PIT0241,DJNY,-121.44414000000002,39.84897999999996,2008,2016,8,24,high,40,0.5,3.5,15,0,0,0,0,0,1,60,60,60,60,60,60
PIT0242,DJNY,-121.44405000000002,39.845269999999985,2008,2016,8,2.8,high,65,2,1,80,0,0,0,0,0,0,60,60,60,60,60,60
PIT0247,DJNY,-121.43934000000002,39.83994000000004,2008,2016,8,14,high,65,0.5,0.5,75,2,0,0,0,0,32,15,60,60,60,60,60
PIT0251,DJNY,-121.45816,39.846879999999985,2008,2016,8,1.9,high,40,1,0.5,65,7,0,0,0,8,4,15,60,60,60,15,60
STR0084,DJNY,-121.10609000000001,40.83492999999997,2004,2016,12,229,high,40,20,15,0,0,0,0,0,0,0,60,60,60,60,60,60
STR0091,DJNY,-121.10375000000002,40.836759999999984,2004,2016,12,67.8,high,55,22,3,0,0,0,0,0,0,0,60,60,60,60,60,60
STR0101,DJNY,-121.10134000000001,40.83497999999999,2004,2016,12,8.5,high,7,85,5,0,0,0,0,0,0,0,60,60,60,60,60,60
STR0227,DJNY,-121.06799,40.82265000000001,2004,2016,12,3.5,high,70,15,0.5,0,0,0,0,0,0,1,60,60,60,60,60,60
STR0264,DJNY,-121.06085,40.82271999999997,2004,2016,12,112,high,70,2,3,0,0,0,0,0,0,0,60,60,60,60,60,60
STR0265,DJNY,-121.06083999999998,40.82092000000005,2004,2016,12,220,high,40,35,5,0,0,0,0,0,0,0,60,60,60,60,60,60
