"Regen_Plot","Fire","ID","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3","Year","fire.abbr","X5yr","fire.year","notes","survey.years.post","seed.tree.any","FORB","dom.veg","dom.veg.2016","dom.veg.all"
"PNP1110123","PENDOLA",1190,"7/13/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas 126S","NAD83 UTM zone 10",656980.28,4365113.08,50,28,"Granite","",10,1,2,67,20,55,0.5,40,0.5,2,90,"1",5,"",NA,NA,0,1,0,0,0,"",1,2,40,20,0,0,0,250,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,8.7,1,"LIDE3 CEIN3 PSME PIPO","NA NA NA","NA NA NA LIDE3 CEIN3 PSME PIPO"
"PNP1110127","PENDOLA",1164,"8/4/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas127S","NAD83 UTM zone 10",657221.9,4365108.23,7,0,"Granite","",35,0,1,89,10,50,0.5,10,50,1,50,"1",3,"",NA,NA,1,3,6,5,1,"Moved plot 30m E away from road",20,65,55,20,120,100,20,30,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,4.5,20,"PSME PIPO CADE27 ARME ACMA LIDE3","NA NA NA","NA NA NA PSME PIPO CADE27 ARME ACMA LIDE3"
"PNP1110128","PENDOLA",1183,"7/13/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas128S","NAD83 UTM zone 10",657411.74,4365125.54,16,6,"Granite","",0.5,0.5,2,90,8,60,1,50,60,5,95,"1",1,"",NA,NA,0.5,2,12,12,0,"Moved plot 40 SE to avoid road",5,75,95,20,240,240,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,4,4,"PSME PILA CADE27 PICO","NA NA NA","NA NA NA PSME PILA CADE27 PICO"
"PNP1110130","PENDOLA",1185,"7/13/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas130S","NAD83 UTM zone 10",657779.51,4365184.07,342,23,"Granite","",5,0.5,2,83,10,3,0.5,50,45,1,40,"1",1,"",NA,NA,1,2,8,8,0,"",21,60,65,20,160,160,0,60,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.7,20,"PSME PICO ARME ABCO LIDE3 CONU4","NA NA NA","NA NA NA PSME PICO ARME ABCO LIDE3 CONU4"
"PNP1110144","PENDOLA",1209,"8/2/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas144S","NAD83 UTM zone 10",656957.23,4365278.45,350,8,"Granite","",1,0,1,90,8,25,2,70,20,0,70,"1",1,"",NA,NA,0.5,2,6,5,1,"",40,80,80,20,120,100,20,110,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,1.1,39,"CONU4 LIDE3 PSME ABCO ARME PIPO","NA NA NA","NA NA NA CONU4 LIDE3 PSME ABCO ARME PIPO"
"PNP1110145","PENDOLA",1211,"8/2/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas145S","NAD83 UTM zone 10",657199.63,4365344.3,348,8,"Granite","",0,0,1,97,2,5,5,1,3,0,2,"1",2,"",NA,NA,1,2.5,1,1,0,"",20,25,3,20,20,20,0,120,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,7.3,15,"PIPO PSME ARME","NA NA NA","NA NA NA PIPO PSME ARME"
"PNP1110146","PENDOLA",1194,"8/2/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas146S","NAD83 UTM zone 10",657363.76,4365328.13,251,9,"Granite","",0,0,2,97,1,20,0.5,75,15,0.5,85,"1",1,"",NA,NA,0.5,3,4,4,0,"",30,85,85,20,80,80,0,60,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.6,30,"PSME LIDE3 CONU4 QUKE","NA NA NA","NA NA NA PSME LIDE3 CONU4 QUKE"
"PNP1110147","PENDOLA",1197,"8/3/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas147S","NAD83 UTM zone 10",657568.78,4365337.41,335,6,"Granite","",1,0,1,88,10,45,0.5,60,11,0.5,50,"1",1,"S",NA,NA,0.2,4,5,5,0,"Salvage Logging in plot",10,60,60,20,100,100,0,120,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.5,10,"LIDE3 PSME PIPO QUKE ARME","NA NA NA","NA NA NA LIDE3 PSME PIPO QUKE ARME"
"PNP1110149","PENDOLA",1200,"8/3/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas149S","NAD83 UTM zone 10",657980.89,4365358.03,180,25,"Granite","",0.5,1,2,77,20,0,0.5,67,0.5,1,65,"1",1,"",NA,NA,0.5,1,3,3,0,"",1,10,67,20,60,60,0,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,2.3,0.5,"QUKE PILA PIPO PSME LIDE3","NA NA NA","NA NA NA QUKE PILA PIPO PSME LIDE3"
"PNP1110150","PENDOLA",1203,"8/3/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas150S","NAD83 UTM zone 10",658147.54,4365370.69,180,18,"Granite","",0.5,0.5,2,88,10,5,0,40,60,1,75,"1",2,"",NA,NA,0.5,3,8,8,0,"",1,10,80,20,160,160,0,40,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.6,0.5,"PSME LIDE3 PILA PIPO","NA NA NA","NA NA NA PSME LIDE3 PILA PIPO"
