"Regen_Plot","Fire","Year.of.Fire","Easting","Northing","aspect","slope","SHRUB","FORB","GRASS","HARDWOOD","CONIFER","FIRE_SEV","BA.Live1","Year","firesev","dist.to.low","fire.abbr","X5yr","fire.year","survey.years.post","elev.m","rad.march","tmean.post","ppt.post","ppt.post.min","tmean.normal","ppt.normal","seed.tree.any","diff.norm.ppt.z","diff.norm.ppt.min.z","seed_tree_distance_general","seed_tree_distance_conifer","seed_tree_distance_hardwood","diff.norm.ppt.z.1","diff.norm.ppt.min.z.1","tmean.post.1","tmean.post.max","ppt.post.1","ppt.post.min.1","perc.norm.ppt","perc.norm.ppt.min","tmean.post.2","tmean.normal.1","diff.norm.tmean.z","diff.norm.tmean.max.z","def.normal","aet.normal","diff.norm.def.z","diff.norm.aet.z","diff.norm.def.max.z","diff.norm.aet.min.z","def.post","aet.post","def.post.max","aet.post.min","snow.post.min","snow.normal","snow.post","diff.norm.snow.z","diff.norm.snow.min.z","dominant_shrub_ht_cm","dom.veg.all","ppt.normal.sq","tmean.normal.sq","snow.normal.sq","FIRE_SEV.cat"
"FRN1200029","Freds",2004,732677.72,4294554.87,164,70,2,1,0,87,0,1,200,2012,NA,NA,"FRD","Y",2004,8,7238.86533949961,7238.86533949961,11.9269450678683,1317.45231761512,820.647460915554,11.804800763381,1179.39599671173,2.1,0.489552789404209,-0.798338926952734,2.1,NA,NA,0.489552789404209,-0.798338926952734,11.9269450678683,11.9269450678683,1317.45231761512,820.647460915554,1.11705679965703,0.695820117419084,11.9269450678683,11.804800763381,-0.041661008404295,0.392681243768845,639.434358219671,632.158523451954,-0.211945966615901,0.243831678718618,0.809412353351551,-0.761376835671294,613.628518428207,656.414488403081,737.985728879509,556.418037483536,96.4718893718545,172.039651288754,207.533275569685,0.430596132056938,-0.908024478954871,250,"NA NA NA QUCH2 QUKE CADE27",1390974.91705966,139.353321063121,29597.6416155561,"control"
"FRN1200030","Freds",2004,732882.29,4294550.02,229,34,1,1,5,85,1,1,320,2012,NA,NA,"FRD","Y",2004,8,7601.59204263247,7601.59204263247,12.0070831641166,1309.98396205745,816.184979581484,11.8762599019528,1168.64582261641,4,0.486852713903199,-0.800959425479747,4,NA,NA,0.486852713903199,-0.800959425479747,12.0070831641166,12.0070831641166,1309.98396205745,816.184979581484,1.12094180863506,0.698402342083573,12.0070831641166,11.8762599019528,-0.0306009388015298,0.397335600807245,640.10647205856,630.974135864502,-0.211006481090123,0.243022710128343,0.814720867035,-0.761213885575554,614.420739118604,655.139190032546,739.282111134462,555.282548157796,96.4728608671746,173.062589672404,208.36521591181,0.424758218916207,-0.913734927953712,100,"NA NA NA QUKE QUCH2 PIPO",1365733.05871879,141.045549258732,29950.6599441189,"control"
"FRN1200041","Freds",2004,732885.2,4294743.19,172,29,39,3,15,0.5,0,1,20,2012,NA,NA,"FRD","Y",2004,8,6866.44718267622,6866.44718267622,11.8705664798663,1310.97468212386,816.81119809241,11.7441070378584,1173.46004440836,6.9,0.486101344143722,-0.801198907017002,6.9,NA,NA,0.486101344143722,-0.801198907017002,11.8705664798663,11.8705664798663,1310.97468212386,816.81119809241,1.11718731998654,0.696070737120183,11.8705664798663,11.7441070378584,-0.0453427080314806,0.390419748754413,639.593818674669,630.477483848596,-0.209500577416057,0.240095479971173,0.813476031756988,-0.771246258913884,614.1066978895,654.346741894325,738.55851907287,553.803504092587,95.1499426856643,169.604825700445,204.770050858226,0.429605784484642,-0.902414971249293,30,"NA NA NA QUCH2 QUKE PIPO",1377008.47582287,137.924050116675,28765.7969008783,"control"
"FRN1200049","Freds",2004,732885.86,4294948.54,149,56,26,0.5,0.5,75,15,1,100,2012,NA,NA,"FRD","Y",2004,8,6595.81663010543,6595.81663010543,11.7258583662463,1312.12014635441,817.529667745215,11.6040974633026,1178.66646559549,0.2,0.485334425534031,-0.801424222322233,0.2,NA,NA,0.485334425534031,-0.801424222322233,11.7258583662463,11.7258583662463,1312.12014635441,817.529667745215,1.11322429597714,0.693605605664008,11.7258583662463,11.6040974633026,-0.0607400999793639,0.382994823046636,639.043257075004,629.950959523107,-0.20789488709003,0.236923766948523,0.812086190190751,-0.78214029653693,613.767254075892,653.501491283605,737.777253211762,552.20519289109,93.7360881905184,165.916983092943,200.936227200039,0.434902734350328,-0.889860955105497,35,"NA NA NA QUCH2 PIPO CADE27",1389254.63711936,134.655077937826,27528.4452786639,"control"
"FRN1200070","Freds",2004,733287.94,4295142.24,150,55,14,0.5,0,15,0.5,1,100,2012,NA,NA,"FRD","Y",2004,8,6574.71923055233,6574.71923055233,11.7638247912143,1298.92203607945,809.474749652187,11.6324637584028,1166.43967615781,3.4,0.479109398533629,-0.807360033488393,3.4,NA,NA,0.479109398533629,-0.807360033488393,11.7638247912143,11.7638247912143,1298.92203607945,809.474749652187,1.11357840669312,0.693970520891876,11.7638247912143,11.6324637584028,-0.0545814999180706,0.384660808274752,639.722063866416,627.169351949107,-0.203687675650151,0.231353066958885,0.821939376051646,-0.79289996737091,614.988053168134,650.144547676938,739.531034908526,548.428092183683,91.6607869235172,164.195695895639,198.504534125889,0.425400676520195,-0.895658467948818,30,"NA NA NA QUCH2 PIPO PSME",1360581.51811514,135.314213090555,26960.2265506532,"control"
"FRN1200097","Freds",2004,734492.41,4295349.2,176,36,55,25,0,0.5,15,1,80,2012,NA,NA,"FRD","Y",2004,8,6500.10365616135,6500.10365616135,11.9588794061255,1257.64293178221,784.002090646664,11.7992676861113,1147.09043276888,3.4,0.46087952398307,-0.825970381758976,3.4,NA,NA,0.46087952398307,-0.825970381758976,11.9588794061255,11.9588794061255,1257.64293178221,784.002090646664,1.0963764458801,0.683470167870041,11.9588794061255,11.7992676861113,-0.0214228059137882,0.405105687992384,642.642129557233,619.80725630753,-0.193020525054983,0.219422303675367,0.854913656454158,-0.80550001881586,619.265373835119,641.549860368428,746.180899357672,539.990083272692,91.5778263089252,169.847413026434,202.544290766454,0.387222024281449,-0.931198752729684,270,"NA NA NA CADE27 PIPO QUCH2",1315816.4609499,139.22271792851,28848.1437117721,"control"
"FRN1200131","Freds",2004,735480.23,4295541.06,173,23,78,3,0,0,4,1,150,2012,NA,NA,"FRD","Y",2004,8,6975.17846380183,6975.17846380183,11.6346437578287,1229.63361999429,766.121346543719,11.5080564537454,1134.02694867209,5.1,0.446593389746941,-0.841213729044955,5.1,NA,NA,0.446593389746941,-0.841213729044955,11.6346437578287,11.6346437578287,1229.63361999429,766.121346543719,1.08430723047116,0.675575961788936,11.6346437578287,11.5080564537454,-0.033935703519585,0.412163497400915,644.01192517958,614.430034161229,-0.181723456663205,0.206692693556811,0.880736125235926,-0.820225572479756,622.066882008098,634.874779516456,750.37019419934,533.298463061037,97.4542807266222,179.77186134179,211.620925058206,0.361343512190918,-0.944789726799929,40,"NA NA NA PIPO CADE27 QUCH2",1286017.12031453,132.435363342591,32317.9221302918,"control"
"FRN1200226","Freds",2004,737093.75,4295946.9,180,92,0.5,0.5,0.5,2,0,1,140,2012,NA,NA,"FRD","Y",2004,8,7908.94422247007,7908.94422247007,10.9424259223511,1218.13312778092,756.222047146746,10.8131454285506,1129.61591099061,1.8,0.432783333577275,-0.857500609790087,1.8,NA,NA,0.432783333577275,-0.857500609790087,10.9424259223511,10.9424259223511,1218.13312778092,756.222047146746,1.07836045502642,0.66945059802104,10.9424259223511,10.8131454285506,-0.0642223454564877,0.423354167059128,640.508854156865,609.526887687896,-0.152452496530099,0.171872106304235,0.908338442369043,-0.876580282324151,622.255163753552,626.451745355915,749.267510694568,523.206909234459,123.599699440522,207.877825596704,240.348680334749,0.345511136341941,-0.91521206242225,25,"NA NA NA QUCH2 PIPO CADE27",1276032.10636315,116.924114058985,43213.1903748137,"control"
"FRN1200231","Freds",2004,738082.37,4295948.52,122,34,35,2,1,0,0.5,1,70,2012,NA,NA,"FRD","Y",2004,8,7768.93483757538,7768.93483757538,10.925505391072,1208.46163354607,749.037680703933,10.794527011371,1132.93842015457,12.6,0.425219902397029,-0.865909714794029,12.6,NA,NA,0.425219902397029,-0.865909714794029,10.925505391072,10.925505391072,1208.46163354607,749.037680703933,1.06666135780019,0.661145978791804,10.925505391072,10.794527011371,-0.0534420671052708,0.436762636349994,639.404880735659,606.536527458501,-0.138787197836976,0.156102637040426,0.925243153878443,-0.902384425685095,622.854195814499,621.900097139334,749.74220401882,517.724152051157,143.477123084047,228.358986555025,263.36624905421,0.354635179755615,-0.878283042544895,25,"NA NA NA PIPO QUCH2 CADE27",1283549.46386233,116.521813399218,52147.8267404381,"control"
"FRN1200307","Freds",2004,738076.69,4296321.97,130,58,4,0.5,0.5,6,30,1,160,2012,NA,NA,"FRD","Y",2004,8,7715.98037174287,7715.98037174287,10.6436408437328,1213.80433333739,751.84070741598,10.5164082561583,1149.19415298977,8.5,0.42254826228348,-0.867887011701081,8.5,NA,NA,0.42254826228348,-0.867887011701081,10.6436408437328,10.6436408437328,1213.80433333739,751.84070741598,1.05622216244272,0.654232973131628,10.6436408437328,10.5164082561583,-0.0730054636824627,0.430235408051841,637.465338352108,605.422682458833,-0.130283636232132,0.127982561465309,0.924544280160587,-0.983751239189618,621.986978387645,618.027816881066,747.305910700835,508.532008713524,162.449229455273,241.981542985464,278.169237281661,0.368330722261963,-0.827013976330807,20,"NA NA NA PIPO PILA ABCO",1320647.20126587,110.594842610194,58555.067145626,"control"
