Regen_Plot,species,regen.count.old,regen.count.all,adult.count,adult.ba,tallest_ht_cm,regen.presab.old,regen.presab.all
ANT1201899,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201900,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201949,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201951,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201953,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201963,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201965,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202011,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202015,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202019,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202025,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202027,ABCO,0.333333333333333,0.2,0,0,82,TRUE,TRUE
ANT1202029,ABCO,0.333333333333333,0.4,1,907.46,48,TRUE,TRUE
ANT1202031,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202082,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202090,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202092,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202094,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202096,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202098,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202100,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202102,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202104,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202137,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202148,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202150,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202154,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202174,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202179,ABCO,0,0,1,283.385,NA,FALSE,FALSE
ANT1202180,ABCO,0,0,2,379.8301,NA,FALSE,FALSE
ANT1202186,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202198,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202216,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202218,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202220,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202225,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202226,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202242,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202261,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202263,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202292,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1202293,ABCO,0.666666666666667,0.4,1,429.8346,113,TRUE,TRUE
BAG1061,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1072,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1074,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1082,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1085,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1089,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1163,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1221,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1260,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1276,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1296,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1301,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1306,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1308,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1312,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1318,ABCO,2.33333333333333,1.75,0,0,30,TRUE,TRUE
BAG1349,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1357,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1360,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1378,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1382,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1463,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1474,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1489,ABCO,0,0,2,3985.1624,NA,FALSE,FALSE
BAG1496,ABCO,1.33333333333333,1,0,0,19,TRUE,TRUE
BAG1535,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1537,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1545,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1548,ABCO,0,0,1,2082.01625,NA,FALSE,FALSE
BAG1557,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1570,ABCO,0,0,0,0,NA,FALSE,FALSE
BAG1614,ABCO,0,0,0,0,NA,FALSE,FALSE
