,Regen_Plot,Fire,Year.of.Fire,aspect,slope,SHRUB,FORB,GRASS,HARDWOOD,CONIFER,FIRE_SEV,BA.Live1,Year,firesev,dist.to.low,fire.abbr,X5yr,fire.year,survey.years.post,elev.m,rad.march,tmean.post,ppt.post,ppt.post.min,tmean.normal,ppt.normal,seed.tree.any,diff.norm.ppt.z,diff.norm.ppt.min.z,seed_tree_distance_general,seed_tree_distance_conifer,seed_tree_distance_hardwood,diff.norm.ppt.z.1,diff.norm.ppt.min.z.1,tmean.post.1,tmean.post.max,ppt.post.1,ppt.post.min.1,perc.norm.ppt,perc.norm.ppt.min,tmean.post.2,tmean.normal.1,diff.norm.tmean.z,diff.norm.tmean.max.z,def.normal,aet.normal,diff.norm.def.z,diff.norm.aet.z,diff.norm.def.max.z,diff.norm.aet.min.z,def.post,aet.post,def.post.max,aet.post.min,snow.post.min,snow.normal,snow.post,diff.norm.snow.z,diff.norm.snow.min.z,dominant_shrub_ht_cm,dom.veg.all,ppt.normal.sq,tmean.normal.sq,snow.normal.sq,FIRE_SEV.cat,type,rel_yrs,plant_yrs,salv_yrs,released,salvaged,planted,managed
11,BST1100161,Bassetts,2006,220,8,60,0,0,0,0,4,20,2011,NA,NA,BST,Y,2006,5,6292.09635667908,6292.09635667908,8.00446865013041,1388.94122205268,1174.88551454917,7.81456141873573,1826.04169137732,11.2,-0.61372225467977,-0.965993205110354,11.2,NA,NA,-0.61372225467977,-0.965993205110354,8.00446865013041,8.00446865013041,1388.94122205268,1174.88551454917,0.760629523746007,0.643405635313285,8.00446865013041,7.81456141873573,0.21495205192048,0.592261232048474,566.638267080286,586.532597993726,0.302499093840645,-0.293270204050583,0.989769538033993,-1.60815940170156,597.983454517356,562.355702875667,669.1989435282,453.957584742964,332.336561256828,377.495251866077,387.36509016271,0.0887246681624,-0.401702997248952,25,NA NA NA PIPO ABMA PSME PILA,3334428.25864814,61.067370167193,142502.665181433,high.sev,highsev,2008,2007,,1,0,1,1
12,BST1100195,Bassetts,2006,180,38,60,0.5,0,0,0,5,0,2011,NA,NA,BST,Y,2006,5,7484.00184981157,7484.00184981157,8.26328157851505,1377.53071751256,1172.75942135031,8.06032360446032,1828.70551385157,27,-0.612301504716203,-0.951907112399153,27,NA,NA,-0.612301504716203,-0.951907112399153,8.26328157851505,8.26328157851505,1377.53071751256,1172.75942135031,0.753281874571067,0.641305782952596,8.26328157851505,8.06032360446032,0.21027290313459,0.589171366899687,568.733427311697,588.225721859521,0.31348043924291,-0.302577783365536,0.985717412358798,-1.56591107050736,601.936579952157,562.772010425576,673.138428727264,456.496788966382,342.585669506772,382.359311228886,389.942885756804,0.069506888242206,-0.36549197874589,150,NA NA NA ABMA,3344163.85639113,64.9688166086202,146198.642883428,high.sev,highsev,2008,2007,,1,0,1,1
13,BST1100198,Bassetts,2006,138,30,1,30,0,0,10,4,240,2011,NA,NA,BST,Y,2006,5,6728.25327838058,6728.25327838058,8.21735355063262,1368.26264842261,1166.69610825138,8.01381772867471,1826.69408743321,9.7,-0.61069088396027,-0.947772206181343,9.7,NA,NA,-0.61069088396027,-0.947772206181343,8.21735355063262,8.21735355063262,1368.26264842261,1166.69610825138,0.749037651041633,0.638692661391799,8.21735355063262,8.01381772867471,0.209675328258494,0.58886947446873,569.946638527614,585.616084248661,0.318979366212006,-0.304425049227824,0.971583551154854,-1.5464680700525,603.573055818171,560.200912165032,672.369796212554,456.507943437268,344.818989914226,383.096010633489,390.081361105842,0.064116206384657,-0.353871155125955,15,NA NA NA ABMA ABCO CADE27 PILA PIPO,3336811.28906345,64.2212745884211,146762.553363294,high.sev,highsev,2011,2008,,1,0,1,1
14,BST1100265,Bassetts,2006,144,42,55,25,0,0,0.5,5,20,2011,NA,NA,BST,Y,2006,5,7210.97066323452,7210.97066323452,7.87310640565423,1375.4672457658,1173.39090961165,7.66201144190454,1827.67054183986,31.7,-0.612472821577755,-0.947373627254348,31.7,NA,NA,-0.612472821577755,-0.947373627254348,7.87310640565423,7.87310640565423,1375.4672457658,1173.39090961165,0.752579425163335,0.64201445651711,7.87310640565423,7.66201144190454,0.230396133996499,0.611684276394364,569.513151245246,576.256077168175,0.305972904377018,-0.267092135668019,0.927726162469878,-1.49443267496465,601.6908002266,554.081994072835,667.07749887124,452.187750587994,354.081508510126,391.887570274161,397.611713437455,0.054036064702638,-0.365955901110327,90,NA NA NA PIPO ABMA,3340379.60950921,58.7064193358761,153575.867735385,high.sev,highsev,2008,2007,,1,0,1,1
15,BST1100287,Bassetts,2006,202,43,90,0.5,0,0,1,5,0,2011,NA,NA,BST,Y,2006,5,7462.69628294581,7462.69628294581,7.69341274078246,1371.12698991549,1170.54461317363,7.48535593956769,1823.36364873545,9,-0.612129076980974,-0.945562497479564,9,NA,NA,-0.612129076980974,-0.945562497479564,7.69341274078246,7.69341274078246,1371.12698991549,1170.54461317363,0.751976705725379,0.641969918609178,7.69341274078246,7.48535593956769,0.23625421137744,0.618837562487911,569.790648231971,571.800160815391,0.307847983918872,-0.279121370406863,0.904926496855204,-1.50654104432537,602.177987720747,548.684476059341,664.994005723383,447.034623150134,358.066661223714,395.226125407415,400.262419150566,0.047860850090542,-0.366632837474349,60,NA NA NA PREM ARPA6,3324654.99552985,56.0305535420213,156203.690204558,high.sev,highsev,2008,2007,,1,0,1,1
16,BST1100288,Bassetts,2006,236,33,85,0.5,0,0,0,5,0,2011,NA,NA,BST,Y,2006,5,7374.16478347607,7374.16478347607,7.67184862739232,1365.85229970913,1166.54863212556,7.4637986742932,1822.04933823384,36,-0.611458893441526,-0.944330927406033,36,NA,NA,-0.611458893441526,-0.944330927406033,7.67184862739232,7.67184862739232,1365.85229970913,1166.54863212556,0.749624212170396,0.640239870373832,7.67184862739232,7.4637986742932,0.236408829884293,0.619513180815192,570.539740526953,570.434728054591,0.311168094316464,-0.282874614228593,0.902482898698635,-1.50039054588718,603.262587721862,547.026225452854,665.446032430067,446.274077963029,358.755297599525,395.588751715933,400.418791662904,0.045850048470417,-0.36450821799991,100,NA NA NA ABMA ABCO PIPO,3319863.79095837,55.7082906503809,156490.46048417,high.sev,highsev,2007,2007,,1,0,1,1
17,BST1100289,Bassetts,2006,224,50,60,2,0,0,1,5,0,2011,NA,NA,BST,Y,2006,5,6953.14278172507,6953.14278172507,7.67283918973826,1360.59996951739,1162.56811042958,7.46616148098905,1819.42520835188,50.5,-0.610781805732195,-0.943091313010059,50.5,NA,NA,-0.610781805732195,-0.943091313010059,7.67283918973826,7.67283918973826,1360.59996951739,1162.56811042958,0.747818576587649,0.638975488023873,7.67283918973826,7.46616148098905,0.23538732249706,0.618784130873739,571.290461333129,569.073145926901,0.314407494255546,-0.286543906706763,0.899985669173161,-1.49399298712949,604.341452333919,545.375546496454,665.898315141173,445.517744704836,359.56702432508,396.039197883283,400.766658476115,0.044832043999363,-0.362385544353867,80,NA NA NA PIPO ABMA,3310308.08878628,55.7435672602046,156847.046260034,high.sev,highsev,2007,2007,,1,0,1,1
18,BST1100291,Bassetts,2006,160,19,5,65,10,10,0,5,0,2011,NA,NA,BST,Y,2006,5,7049.90373781587,7049.90373781587,7.81731194411826,1349.86705436201,1154.41992957036,7.6220093206388,1805.99594111621,15.7,-0.609348350938866,-0.940524857460392,15.7,NA,NA,-0.609348350938866,-0.940524857460392,7.81731194411826,7.81731194411826,1349.86705436201,1154.41992957036,0.747436372159128,0.639215129607025,7.81731194411826,7.6220093206388,0.225637594869066,0.608093245978151,572.732927288208,566.466422105581,0.321557899705841,-0.294108746462026,0.895125966059656,-1.47706006399947,606.527641479592,542.088380455946,666.80782395828,444.036089134028,361.952437949727,397.456268786481,402.617908519465,0.049027093886506,-0.357858932208039,80,NA NA NA ALNUS PIPO ABCO ABMA,3261621.33932822,58.0950260839047,157971.485597671,high.sev,highsev,2008,2007,,1,0,1,1
19,BST1100310,Bassetts,2006,225,45,45,5,0,0,0.5,5,0,2011,NA,NA,BST,Y,2006,5,7375.201154706,7375.201154706,7.50798035283034,1360.93295372197,1163.17639570143,7.30015307948639,1816.63897921796,41,-0.61118107377926,-0.942627097115855,41,NA,NA,-0.61118107377926,-0.942627097115855,7.50798035283034,7.50798035283034,1360.93295372197,1163.17639570143,0.749148823343996,0.640290343325212,7.50798035283034,7.30015307948639,0.242529419328934,0.62654889577085,571.241432795329,566.527282444543,0.309231083174688,-0.278351560025055,0.876322267219079,-1.4489098689479,603.773238592499,543.499639139545,663.432507250812,446.660953546583,362.680237475608,398.975509089976,403.231655881082,0.040507183585465,-0.366609465446506,50,NA NA NA ABMA,3300177.18081407,53.2922349839346,159181.456853606,high.sev,highsev,2007,2007,,1,0,1,1
20,BST1100326,Bassetts,2006,185,35,60,2,0.5,0,3,5,0,2011,NA,NA,BST,Y,2006,5,7583.54401649232,7583.54401649232,7.49649035609725,1383.42736085497,1180.06132995437,7.30510849016967,1835.79684488713,7.3,-0.614053315964476,-0.947802324092723,7.3,NA,NA,-0.614053315964476,-0.947802324092723,7.49649035609725,7.49649035609725,1383.42736085497,1180.06132995437,0.753584125992996,0.642806056258869,7.49649035609725,7.30510849016967,0.239862652397201,0.621358732476311,568.374426712077,567.561637461237,0.290189353638287,-0.254019867796434,0.864203960514924,-1.42812511276767,598.958692480159,546.616765699031,659.456484943487,449.807472770166,362.728730770962,400.05104461674,404.741390465915,0.045210391295704,-0.376741523054576,35,NA NA NA ABMA,3370150.05569754,53.364610053149,160040.838298945,high.sev,highsev,,2008,2007,0,1,1,1
