plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
ANT1202174,DJNY,-120.57293170154443,40.17194841881989,2007,2012,5,58.3,high,10,65,5,0,0,60
ANT1202186,DJNY,-120.61650954205061,40.171754163234844,2007,2012,5,3.3,high,0,75,1,30,4,60
ANT1202198,DJNY,-120.59878211849714,40.173626553835874,2007,2012,5,12.7,high,20,10,0.5,0,0,60
ANT1202242,DJNY,-120.59879694668992,40.175427148154554,2007,2012,5,53.6,high,90,5,0.5,0,1,60
ANT1202263,DJNY,-120.56356472838458,40.17559273369127,2007,2012,5,6.6,high,2,36,2,0,0,60
ANT1202342,DJNY,-120.61887045801032,40.166360273463916,2007,2012,5,83,high,65,5,2,0,2,60
BAG1045,DJNY,-122.03743999999999,41.04375999999997,2012,2016,4,NA,high,95,0,5,0,0,60
BAG1061,DJNY,-122.03519999999999,41.04924000000004,2012,2016,4,4,high,75,10,5,0,0,60
BAG1072,DJNY,-122.035,41.043849999999985,2012,2016,4,2,high,25,25,5,0,0,60
BAG1074,DJNY,-122.03517000000001,41.04740999999998,2012,2016,4,6,high,70,15,5,5,6,60
BAG1082,DJNY,-122.03509,41.04562999999998,2012,2016,4,4,high,40,30,5,0,0,60
BAG1085,DJNY,-122.03288,41.04929999999997,2012,2016,4,1,high,50,15,10,0,0,60
BAG1089,DJNY,-122.03293,41.05104,2012,2016,4,17,high,50,20,20,0,0,60
BAG1163,DJNY,-122.02795,41.043920000000014,2012,2016,4,5,high,75,10,15,0,0,60
BAG1221,DJNY,-122.02294000000002,41.04028000000004,2012,2016,4,3,high,40,0,0,30,0,60
BAG1260,DJNY,-122.01922000000002,41.06929999999998,2012,2016,4,28,high,100,0.5,0.5,0,9,60
BAG1276,DJNY,-122.01918,41.06757999999999,2012,2016,4,28,high,95,0.5,1,0,8,60
BAG1301,DJNY,-122.01472000000001,41.080180000000006,2012,2016,4,28,high,85,2,10,0,0,60
BAG1306,DJNY,-122.0145,41.07299000000004,2012,2016,4,2,high,85,0.5,0.5,0,11,60
BAG1308,DJNY,-122.01473,41.081990000000026,2012,2016,4,2,high,40,0.5,95,0,2,60
BAG1312,DJNY,-122.01479,41.08377000000002,2012,2016,4,60,high,95,3,10,0,0,60
