"Regen_Plot","species","regen.count.old","regen.count.all","adult.count","adult.ba","tallest_ht_cm","regen.presab.old","regen.presab.all"
"FRD1200268","HDWD.ALLSP",0.333333333333333,0.25,2,359.53,75,TRUE,TRUE
"FRD1200269","HDWD.ALLSP",0.333333333333333,0.125,2,1287.4,10,TRUE,TRUE
"FRN1200007","HDWD.ALLSP",0.666666666666667,0.5,3,7758.7359,150,TRUE,TRUE
"FRN1200008","HDWD.ALLSP",3.33333333333333,1.375,0,0,80,TRUE,TRUE
"FRN1200013","HDWD.ALLSP",0,0.125,0,0,80,FALSE,TRUE
"FRN1200014","HDWD.ALLSP",1.33333333333333,1.25,4,1212.14205,300,TRUE,TRUE
"FRN1200016","HDWD.ALLSP",0,0,2,2155.61,NA,FALSE,FALSE
"FRN1200017","HDWD.ALLSP",4,1.75,0,0,110,TRUE,TRUE
"FRN1200019","HDWD.ALLSP",4,1.875,8,2817.95375,90,TRUE,TRUE
"FRN1200029","HDWD.ALLSP",8.66666666666667,3.5,10,3193.81175,58,TRUE,TRUE
"FRN1200030","HDWD.ALLSP",36,14.25,1,2550.465,90,TRUE,TRUE
"FRN1200041","HDWD.ALLSP",0,0.125,0,0,38,FALSE,TRUE
"FRN1200049","HDWD.ALLSP",0.333333333333333,0.625,0,0,160,TRUE,TRUE
"FRN1200070","HDWD.ALLSP",0,0.125,8,1523.1198,130,FALSE,TRUE
"FRN1200097","HDWD.ALLSP",0.666666666666667,0.25,0,0,70,TRUE,TRUE
"FRN1200131","HDWD.ALLSP",1.33333333333333,0.875,0,0,55,TRUE,TRUE
"FRN1200226","HDWD.ALLSP",0,0,1,730.24625,NA,FALSE,FALSE
"FRN1200231","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRN1200307","HDWD.ALLSP",0.333333333333333,0.625,0,0,110,TRUE,TRUE
"FRN1200382","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRN1200395","HDWD.ALLSP",0.333333333333333,0.125,0,0,13,TRUE,TRUE
"HAR1000001","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000003","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000006","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000007","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000008","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000013","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000017","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000018","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000019","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000020","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000021","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000023","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"HAR1000024","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
