"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"PWR0900150",,"ARPA6",1.00,909,30.00,
,"PWR0900149",,"CECO",1.00,910,45.00,
,"PWR0900149",,"CEIN3",0.50,911,75.00,
,"PWR0900149",,"ARPA6",0.50,912,25.00,
,"PWR0900148",,"CEIN3",39.00,913,220.00,
,"PWR0900148",,"ARPA6",1.00,914,40.00,
,"PWR0900146",,"CHFO",40.00,915,30.00,
,"PWR0900146",,"CEIN3",0.50,916,60.00,
,"PWR0900146",,"ARPA6",10.00,917,40.00,
,"PWR0900145",,"CHFO",15.00,918,40.00,
,"PWR0900144",,"CHFO",10.00,919,30.00,
,"PWR0900144",,"ARPA6",5.00,920,40.00,
,"PWR0900143",,"CHFO",55.00,921,20.00,
,"PWR0900143",,"ARPA6",0.50,922,10.00,
,"PWR0900140",,"CEIN3",15.00,925,135.00,
,"PWR0900140",,"CHFO",49.00,926,40.00,
,"PWR0900164",,"CHFO",30.00,927,40.00,
,"PWR0900135",,"CHFO",60.00,928,30.00,
,"PWR0900161",,"CEIN3",5.00,929,200.00,
,"PWR0900122",,"ARPA6",1.00,930,40.00,
,"PWR0900122",,"CHFO",32.00,931,30.00,
,"PWR0900121",,"CHFO",18.00,932,30.00,
,"PWR0900120",,"CHFO",25.00,933,30.00,
,"PWR0900086",,"CEIN3",10.00,934,130.00,
,"PWR0900086",,"CHFO",10.00,935,40.00,
,"PWR0900086",,"ARPA6",10.00,936,60.00,
,"PWR0900086",,"PRVI",10.00,937,200.00,
,"PWR0900114",,"CHFO",2.00,938,,
,"PWR0900077",,"CECO",75.00,939,50.00,
,"PWR0900077",,"ARPA6",4.00,940,40.00,
,"PWR0900099",,"CHFO",40.00,941,30.00,
,"PWR0900078",,"ARPA6",5.00,942,45.00,
,"PWR0900078",,"CECO",10.00,943,50.00,
,"PWR0900078",,"CHFO",35.00,944,30.00,
,"PWR0900078",,"PREM",0.50,945,90.00,
,"PWR0900098",,"ARPA6",2.00,946,30.00,
,"PWR0900098",,"CHFO",10.00,947,30.00,
,"PWR0900097",,"CHFO",35.00,948,30.00,
,"PWR0900095",,"CEIN3",1.00,949,50.00,
,"PWR0900091",,"CHFO",20.00,950,40.00,
,"PWR0900092",,"CHFO",10.00,951,,
,"PWR0900092",,"MAAQ2",5.00,952,,
,"PWR0900115",,"CEIN3",5.00,953,200.00,
,"PWR0900090",,"CHFO",30.00,954,30.00,
,"PWR0900087",,"CHFO",1.00,955,30.00,
