"ID","Regen_Plot","OldPLOTID","Count_total","0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","6yr","7yr","8yr","9yr","10yr","11+yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts"
1923,"PNT1100068",,4.00,,1,1,1,1,,,,,,,,"H","CONU4",,"S",4.00,60.00,10.00,,
1924,"BST1100110",,2.00,,,2,,,,,,,,,,"C","PIPO",,"S",2.00,39.00,10.00,,
1925,"PNT1100068",,15.00,,,,1,3,3,4,,2,2,,,"H","LIDE3",,"S",9.00,130.00,15.00,,
1926,"PNT1100068",,1.00,,1,,,,,,,,,,,"C","ABCO",,"S",1.00,13.00,6.00,,
1927,"PNT1100068",,2.00,1,,1,,,,,,,,,,"C","PSME",,"S",2.00,13.00,6.00,,
1928,"PNT1100070",,1.00,,,,1,,,,,,,,,"C","CADE27",,"S",3.00,25.00,7.00,,
1929,"PNT1100070",,3.00,,,,1,2,,,,,,,,"H","LIDE3",,"S",4.00,70.00,18.00,,
1930,"PNT1100070",,1.00,,1,,,,,,,,,,,"C","PSME",,"S",1.00,14.00,6.00,,
1931,"BST1100111",,1.00,,,,1,,,,,,,,,"C","CADE27",,"S",3.00,24.00,9.00,,
1932,"BST1100111",,3.00,1,2,,,,,,,,,,,"C","ABCO",,"S",1.00,10.00,5.00,,
1933,"PNT1100076",,99.00,2,7,11,20,15,11,8,10,7,8,,,"H","LIDE3",,"S",9.00,118.00,22.00,,
1934,"BST1100111",,1.00,,,,1,,,,,,,,,"C","PIPO",,"S",3.00,29.00,6.00,,
1935,"PNT1100069",,41.00,2,2,10,9,10,5,2,1,,,,,"H","LIDE3",,"S",7.00,130.00,18.00,,
1936,"PNT1100069",,3.00,1,2,,,,,,,,,,,"C","PSME",,"S",1.00,5.00,2.00,,
1937,"PNT1100069",,1.00,,1,,,,,,,,,,,"C","ABCO",,"S",1.00,10.00,5.00,,
1938,"BST1100112",,5.00,,1,1,3,,,,,,,,,"C","CADE27",,"S",3.00,7.00,2.00,,
