"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1"
365,"STY0900062","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1390","WGS84 UTM zone 10",663531.79,4520688.17,81.00,20.00,"volc",,10.00,1.00,70.00,17.00,2.00,26.00,24.00,20.00,,,5.00,0.00,"1",5.00,,,,0.00,1.00,2,0,2,"Cheatgrass +",,,,20,40,0,40
366,"STY0900058","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1389","WGS84 UTM zone 10",663724.99,4520894.45,87.00,3.00,"volc",,8.00,2.00,80.00,10.00,0.50,41.00,9.00,30.00,,,25.00,0.00,"1",4.00,,,,0.00,1.00,2,1,1,"Cheatgrass +",,,,20,40,20,20
367,"STY0900057","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1388","WGS84 UTM zone 10",663524.63,4520887.92,15.00,20.00,"volc",,30.00,5.00,50.00,5.00,10.00,50.00,0.00,0.00,,,0.00,0.00,"1",5.00,,,,0.00,0.75,0,0,0,"CELE +, Cheatgrass -",,,,20,0,0,0
368,"STY0900001","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1366","WGS84 UTM zone 10",659042.82,4523341.89,292.00,6.00,"volc",,0.00,10.00,65.00,25.00,0.50,0.00,15.00,50.00,,,5.00,0.00,"1",5.00,,,,0.00,0.50,2,0,2,"Cheatgrass +, Thistle",,,,20,40,0,40
369,"STY0900005","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1365","WGS84 UTM zone 10",659048.92,4523140.63,308.00,47.00,"volc",,10.00,50.00,35.00,5.00,0.00,20.00,5.00,10.00,,,10.00,0.00,"1",5.00,,,,0.00,0.50,2,0,2,,,,,20,40,0,40
370,"STY0900008","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1364","WGS84 UTM zone 10",659052.52,4522935.62,215.00,18.00,"volc",,0.00,40.00,45.00,10.00,5.00,30.00,0.50,15.00,,,25.00,0.00,"1",5.00,,,,0.00,1.00,3,0,3,"Cheatgrass +",,,,20,60,0,60
371,"STY0900011","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1362","WGS84 UTM zone 10",659062.39,4522739.88,294.00,48.00,"volc",,10.00,10.00,60.00,10.00,10.00,35.00,15.00,10.00,,,15.00,0.00,"1",5.00,,,,0.00,0.50,5,0,5,,,,,20,100,0,100
372,"STY0900016","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1361","WGS84 UTM zone 10",659269.22,4522547.87,232.00,20.00,"volc",,10.00,30.00,45.00,10.00,5.00,6.00,20.00,20.00,,,3.00,0.00,"1",5.00,,,,0.00,0.50,6,0,6,"Cheatgrass +",,,,20,120,0,120
373,"STY0900020","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1360","WGS84 UTM zone 10",659475.16,4522355.83,208.00,5.00,"volc",,15.00,10.00,50.00,15.00,10.00,0.00,5.00,45.00,,,0.00,0.00,"1",5.00,,,,0.00,0.50,0,0,0,"Whole area scraped from tree removal.  Cheatgrass +, LACE -",,,,20,0,0,0
374,"STY0900025","STRAYLOR",7/14/2009 0:00:00,"kw/bs",2004.00,"1359","WGS84 UTM zone 10",659681.25,4522162.79,6.00,10.00,"volc",,15.00,10.00,50.00,10.00,15.00,20.00,20.00,10.00,,,0.00,0.00,"1",5.00,,,,0.00,0.50,0,0,0,"LACE, Cheatgrass",,,,20,0,0,0
