"ID","Regen_Plot","DBH (cm)","type","Species","3 yr","4yr","5yr","6yr","7yr","8yr","9yr","10yr","11+yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts"
296,"PNT1000054","5.4","c","CADE27",,,,,,,,1,,"S",300.00,10.00,,0.00
298,"PNT1000015","1.6","c","PILA",,,,,1,,,,,"S",250.00,7.00,,0.00
304,"PNT1000112",".6","h","LIDE3",,,,,1,,,,,"S",180.00,7.00,,7.00
306,"PNT1000112",".3","h","LIDE3",,,,,1,,,,,"S",120.00,7.00,,5.00
307,"PNT1000112","1.3","h","LIDE3",,,,,,1,,,,"S",180.00,8.00,,2.00
308,"PNT1000064","10.2","c","PIPO",,,,,,1,,,,"P",420.00,8.00,,0.00
311,"PNT1000064","1.0","h","ARME",,,1,,,,,,,"S",160.00,5.00,,0.00
315,"PNT1000040","1.5","h","CONU4",,,,,1,,,,,"S",250.00,7.00,,0.00
316,"PNT1000040","8.7","c","PIPO",,,,,,,,1,,"P",400.00,10.00,,0.00
317,"PNT1000040","12.3","c","PIPO",,,,,,,,1,,"P",450.00,10.00,,0.00
318,"PNT1000040","10.9","c","PIPO",,,,,,,,1,,"P",500.00,10.00,,0.00
319,"PNT1000040","16.2","c","PIPO",,,,,,,,1,,"P",600.00,10.00,,0.00
324,"PNT1000040",".5","h","CONU4",,,,1,,,,,,"S",200.00,6.00,,0.00
333,"PNT1000079","2.7","c","PIPO",,,,,,1,,,,"S",230.00,8.00,,0.00
334,"PNT1000079","1","h","ARME",,,,1,,,,,,"S",175.00,6.00,,0.00
340,"PNT1000062","2.5","h","QUCH2",,,,,,,,1,,"S",270.00,10.00,,0.00
345,"PNT1000104","2.5","h","LIDE3",,,,,,,1,,,"S",250.00,9.00,,0.00
350,"PNT1000011","4.2","c","PIPO",,,,,,1,,,,"S",310.00,8.00,,0.00
351,"PNT1000011","1.5","h","ARME",,,1,,,,,,,"S",210.00,5.00,,0.00
352,"PNT1000011","3.2","h","ARME",,,,,1,,,,,"S",450.00,7.00,,2.00
353,"PNT1000011","1.5","h","CONU4",,,,1,,,,,,"S",230.00,6.00,,0.00
354,"PNT1000011",".5","h","ARME",,,1,,,,,,,"S",180.00,5.00,,1.00
356,"PNT1000010","1.1","h","ARME",,,1,,,,,,,"S",210.00,5.00,,0.00
357,"PNT1000010","1.2","h","ARME",,,,,,1,,,,"S",200.00,8.00,,0.00
360,"PNT1000022","2.1","c","CADE27",,,,,,,1,,,"S",260.00,9.00,,0.00
362,"PNT1000022","5.3","h","LIDE3",,,,,,1,,,,"S",380.00,8.00,,0.00
365,"PNT1000014","3.1","c","PIPO",,,,,,1,,,,"S",250.00,8.00,,0.00
367,"PNT1000014",".8","h","ARME",1,,,,,,,,,"S",180.00,,,0.00
368,"PNT1000014","1.7","h","CONU4",,,,,,,1,,,"S",270.00,9.00,,0.00
369,"PNT1000014",".6","h","ARME",,,,1,,,,,,"S",190.00,6.00,,0.00
372,"PNT1000014","1","h","ARME",,,,,1,,,,,"S",210.00,7.00,,0.00
374,"PNT1000014","2","h","ARME",,,,,,1,,,,"S",220.00,8.00,,0.00
376,"PNT1000014","3.4","h","ARME",,,,,1,,,,,"S",400.00,7.00,,0.00
383,"PNT1000021","2.1","h","LIDE3",,,,,,1,,,,"S",450.00,8.00,,0.00
388,"PNT1000021","1","h","LIDE3",,,,,,,1,,,"S",230.00,9.00,,0.00
393,"PNT1000021","1.5","h","CONU4",,,,,,,,,,"S",200.00,,,0.00
394,"PNT1000021","1.2","h","CONU4",,,,,,,,,,"S",250.00,,,0.00
396,"PNT1000042","8.2","h","LIDE3",,,,,,,,,1,"S",550.00,11.00,,0.00
405,"PNT1000048","1.55","h","QUCH2",,,,1,,,,,,"S",150.00,6.00,,0.00
407,"PNT1000030","4.2","c","PIPO",,,,,1,,,,,"S",300.00,7.00,,0.00
411,"PNT1000030","2.1","h","CONU4",,,,,,1,,,,"S",400.00,8.00,,1.00
413,"PNT1000030","1","h","LIDE3",,,,1,,,,,,"S",210.00,6.00,,0.00
414,"PNT1000030","1.5","h","CONU4",,,,,,,1,,,"S",230.00,9.00,,0.00
415,"PNT1000030",".4","h","LIDE3",,,,1,,,,,,"S",180.00,6.00,,0.00
417,"PNT1000030","60","c","PIPO",,,,,,1,,,,"S",520.00,8.00,,0.00
426,"PNT1000133","13.2","c","PIPO",,,,,,,1,,,"S",580.00,9.00,,
427,"PNT1000133","9.8","c","PIPO",,,,,,1,,,,"S",400.00,8.00,,
428,"PNT1000006",".5","h","ARME",,,,1,1,,,,,"S",152.00,7.00,,0.00
430,"PNT1000006","1.1","h","CONU4",,,,,1,1,,,,"S",210.00,8.00,,6.00
431,"PNT1000006","1","c","PIPO",,,,1,,,,,,"S",180.00,6.00,,0.00
432,"PNT1000006","2.8","c","PIPO",,,,,,1,,,,"P",220.00,8.00,,0.00
434,"PNT1000004","5.2","c","PSME",,,,,,,,3,,"P",500.00,10.00,,0.00
436,"PNT1000007","1","c","PIPO",,,,,,1,,,,"P",200.00,8.00,,0.00
438,"PNT1000007","6.4","h","CONU4",,,,,,,,1,,"S",450.00,10.00,,0.00
439,"PNT1000007","3.5","h","LIDE3",,,,,,,,1,,"S",400.00,10.00,,0.00
440,"PNT1000007","5.3","c","PIPO",,,,,,1,,,,"P",500.00,8.00,,0.00
442,"PNT1000075","2.6","h","CONU4",,,,,,,,1,,"S",400.00,10.00,,0.00
449,"PNT1000009","1","h","ARME",,,,5,3,,,,,"S",200.00,7.00,,1.00
450,"PNT1000009",".5","c","PIPO",,,,,,1,,,,"S",120.00,8.00,,0.00
451,"PNT1000009","1","c","CADE27",,,,,,1,,,,"S",210.00,8.00,,0.00
452,"PNT1000012","1.5","h","ARME",,,,,1,,,,,"S",300.00,7.00,,0.00
476,"PNT1000118","1","h","ARME",,,,,1,,,,,"S",195.00,7.00,,0.00
478,"PNT1000033","1","c","PIPO",,,,,,,,,,"S",170.00,,,0.00
479,"PNT1000033","1","h","ARME",,,,,,,,,,"S",180.00,,,0.00
500,"PNP1000042","7.4","c","PSME",,,,,,,,,1,"S",620.00,11.00,,0.00
508,"PNP1000037","1.8","h","LIDE3",,,,,1,,,,,"S",220.00,7.00,,1.00
509,"PNP1000037","5.7","h","ARME",,,,,1,,,,,"S",500.00,7.00,,0.00
510,"PNP1000037","2.5","c","PIPO",,,,,1,,,,,"S",220.00,7.00,,0.00
511,"PNP1000037","5.9","h","ARME",,,,,,,1,,,"S",550.00,9.00,,0.00
512,"PNP1000037","4.9","h","ARME",,,,,1,,,,,"S",450.00,7.00,,0.00
514,"PNP1000037","4.8","h","ARME",,,1,,,,,,,"S",450.00,5.00,,0.00
515,"PNP1000037","2","h","ARME",,,,,,1,,,,"S",220.00,8.00,,0.00
516,"PNP1000037","7.1","c","PIPO",,,,,,,1,,,"S",450.00,9.00,,0.00
518,"PNP1000037","2","c","PILA",,,,,,,1,,,"S",200.00,9.00,,0.00
519,"PNP1000037","1.7","h","LIDE3",,,,,1,,,,,"S",210.00,7.00,,0.00
521,"PNP1000037","1.2","c","PILA",,,,,,,1,,,"S",210.00,9.00,,0.00
522,"PNP1000037",".7","h","ARME",,,1,,,,,,,"S",180.00,5.00,,0.00
523,"PNP1000037","3.1","c","PIPO",,,,1,,,,,,"S",290.00,6.00,,0.00
524,"PNP1000037","1","h","ARME",,,,,1,,,,,"S",200.00,7.00,,0.00
525,"PNP1000037","1","h","ARME",,,,,1,,,,,"S",220.00,7.00,,0.00
527,"PNP1000037","2","c","PIPO",,,,,,1,,,,"S",240.00,8.00,,0.00
528,"PNP1000037",".7","c","PIPO",,,,1,,,,,,"S",180.00,6.00,,0.00
529,"PNP1000037",".5","h","ARME",,,1,,,,,,,"S",180.00,5.00,,0.00
530,"PNP1000037","2.6","h","ARME",,,,1,,,,,,"S",280.00,6.00,,2.00
531,"PNP1000037","3.6","h","LIDE3",,,,,,1,,,,"S",260.00,8.00,,0.00
533,"PNP1000037","3.9","h","ARME",,,1,,,,,,,"S",350.00,5.00,,0.00
534,"PNP1000037","2.9","h","ARME",,,1,,,,,,,"S",300.00,5.00,,0.00
535,"PNP1000036","1.1","h","LIDE3",,,,,1,,,,,"S",250.00,7.00,,0.00
536,"PNP1000036","1.5","c","PIPO",,,,,1,,,,,"S",210.00,7.00,,0.00
538,"PNP1000036",".8","c","PIPO",,,,1,,,,,,"S",180.00,6.00,,0.00
539,"PNP1000036","2.6","c","PSME",,,,,,1,,,,"S",210.00,8.00,,0.00
540,"PNP1000036","2.4","h","ARME",,,,1,,,,,,"S",350.00,6.00,,0.00
541,"PNP1000036","2.7","c","PIPO",,,,1,,,,,,"S",210.00,6.00,,0.00
542,"PNP1000036","1.4","h","LIDE3",,,,,1,,,,,"S",250.00,7.00,,0.00
543,"PNP1000036","1.5","h","LIDE3",,,,,1,,,,,"S",250.00,7.00,,0.00
544,"PNP1000036","4.6","c","PSME",,,,,,,1,,,"S",200.00,9.00,,0.00
545,"PNP1000036","1","h","ARME",,1,,,,,,,,"S",250.00,4.00,,0.00
547,"PNP1000036",".6","h","LIDE3",,,,1,,,,,,"S",180.00,6.00,,0.00
548,"PNP1000036","1.4","h","LIDE3",,,,,,1,,,,"S",230.00,8.00,,0.00
549,"PNP1000036",".5","h","LIDE3",,,,1,,,,,,"S",170.00,6.00,,0.00
550,"PNP1000036",".5","h","LIDE3",,,,,1,,,,,"S",190.00,7.00,,0.00
551,"PNP1000036","1","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
553,"PNP1000036","2.4","h","LIDE3",,,,,,,1,,,"S",350.00,9.00,,0.00
555,"PNP1000036","1","h","LIDE3",,,,,1,,,,,"S",210.00,7.00,,0.00
556,"PNP1000036",".7","h","LIDE3",,,,,1,,,,,"S",220.00,7.00,,0.00
557,"PNP1000036",".4","h","LIDE3",,,1,,,,,,,"S",180.00,5.00,,0.00
559,"PNP1000036","1.6","c","PSME",,,,,,1,,,,"S",230.00,8.00,,0.00
560,"PNP1000036","1.6","h","ARME",,,1,,,,,,,"S",350.00,5.00,,0.00
562,"PNP1000036",".6","c","PIPO",,,,,,,,,1,"S",175.00,11.00,,0.00
563,"PNP1000036","1","h","LIDE3",,,,,1,,,,,"S",210.00,7.00,,0.00
564,"PNP1000036","1.4","h","LIDE3",,,,,,1,,,,"S",250.00,8.00,,0.00
569,"PNP1000036","1","c","PSME",,,,,1,,,,,"S",210.00,7.00,,0.00
570,"PNP1000036","2.5","h","LIDE3",,,,,,1,,,,"S",370.00,8.00,,0.00
571,"PNP1000036","1.9","h","ARME",,,1,,,,,,,"S",230.00,5.00,,0.00
572,"PNP1000035","1","h","ARME",,,,1,,,,,,"S",180.00,6.00,,0.00
574,"PNP1000035","2.9","h","ARME",,,,,,1,,,,"S",300.00,8.00,,0.00
575,"PNP1000035","1.8","h","ARME",,,,1,,,,,,"S",270.00,6.00,,0.00
576,"PNP1000035","6.1","h","ARME",,,,,,,,1,,"S",400.00,10.00,,0.00
577,"PNP1000035","1.8","h","ARME",,,,1,,,,,,"S",300.00,6.00,,0.00
579,"PNP1000035","1.5","h","ARME",,,1,,,,,,,"S",210.00,5.00,,0.00
