OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,PNT1100088,10,554,LIDE3,
,PNT1100088,8.5,555,LIDE3,
,PNT1100088,16.1,556,ABCO,
,PNT1100088,8.5,557,ABCO,
,BST1100268,31.8,558,ABCO,
,BST1100305,43.5,559,ABMA,
,PNT1100100,18,560,PSME,
,PNT1100100,20,561,PSME,
,PNT1100100,16,562,PSME,
,PNT1100100,16,563,ARME,
,BST1100004,63.3,564,PIPO,
,BST1100025,38.1,565,PIPO,
,BST1100025,40.2,566,PIPO,
,BST1100025,35.5,567,PIPO,
,PNT1100089,33,568,PILA,
,PNT1100089,11.7,569,LIDE3,
,PNT1100089,39,570,PILA,
,PNT1100089,13.5,571,PILA,
,PNT1100089,35,572,PILA,
,BST1100026,8.2,573,PICO,
,BST1100026,36.6,574,PICO,
,PNT1100090,40,575,CADE27,
,PNT1100090,8,576,ARME,
,PNT1100090,43,577,PSME,
,PNT1100090,88,578,PILA,
,PNT1100108,14,579,LIDE3,
,PNT1100108,40.2,580,LIDE3,
,PNT1100108,8.3,581,LIDE3,
,PNT1100108,32.5,582,LIDE3,
,PNT1100108,17,583,LIDE3,
,PNT1100108,20,584,LIDE3,
,PNT1100067,44.7,585,ABCO,
,PNT1100067,64.5,586,QUKE,
,PNT1100077,48,587,CADE27,
,BST1100066,41.3,588,ABCO,
,BST1100066,62,589,PILA,
,BST1100066,66.3,590,PIPO,
,BST1100069,68.5,591,PICO,
,BST1100086,49.5,592,PILA,
,BST1100086,37.5,593,PILA,
,BST1100086,43.5,594,PILA,
,BST1100087,26.5,595,CADE27,
,BST1100087,12,596,ABMA,
,BST1100110,30,597,ABMA,
,PNT1100070,36,599,PSME,
,PNT1100070,33,600,PSME,
,PNT1100070,41.5,601,PSME,
,BST1100111,13,602,ABMA,
,BST1100111,43,603,CADE27,
,PNT1100076,21.5,604,LIDE3,
,PNT1100076,59.4,605,LIDE3,
,PNT1100350,53,606,CADE27,
,PNT1100023,41,607,PIPO,
,PNT1100023,51,608,PIPO,
,PNT1100023,62,609,PIPO,
,PNT1100023,75.5,610,PIPO,
,BST1100117,60,611,ABCO,
,BST1100117,53,612,ABCO,
,BST1100117,42.3,613,ABCO,
,BST1100117,41.5,614,ABCO,
,PNT1100272,103.5,615,PSME,
,PNT1100270,27,616,PSME,
,PNT1100270,68,617,QUKE,
,PNT1100037,78,618,PSME,
,PNT1100137,87,619,LIDE3,
,PNT1100137,41,620,LIDE3,
,PNT1100137,49,621,QUKE,
,PNT1100137,18.4,622,ABCO,
,PNT1100137,22.8,623,LIDE3,
,BST1100143,22,624,ABCO,
,PNT1100203,31.5,625,PSME,
,PNT1100062,64,626,PSME,
,PNT1100062,105.6,627,PIPO,
,PNT1100106,50,628,PSME,
,PNT1100106,39,629,PSME,
,PNT1100106,21,630,PSME,
,PNT1100106,23,631,PSME,
,PNT1100106,10,632,CADE27,
,PNT1100106,20,633,PSME,
,BST1100312,35.5,634,ABMA,
,BST1100312,58.8,635,ABCO,
,BST1100312,43.7,636,ABMA,
,PNT1100061,33,637,PSME,
,PNT1100061,34,638,CADE27,
,PNT1100061,33,639,QUCH2,
,PNT1100061,71.2,640,PSME,
,PNT1100061,117.5,641,PSME,
,BST1100333,39,642,ABMA,
,BST1100353,72.2,643,ABMA,
,BST1100353,101.8,644,ABMA,
,RAL1100180,13,645,QUKE,
,RAL1100180,18.2,646,QUKE,
,RAL1100180,16.1,647,QUKE,
,RAL1100143,21.4,648,PIPO,
,RAL1100143,21.4,649,QUKE,
,RAL1100143,30.1,650,QUKE,
,RAL1100143,31.3,651,QUKE,
,RAL1100143,27,652,QUKE,
,RAL1100143,10.6,653,PSME,
,RAL1100143,25.2,654,QUKE,
,BST1100313,62.5,655,ABMA,
,RAL1100058,64.1,656,CADE27,
,BST1100197,69.5,657,ABMA,
,RAL1100056,17.8,658,PIPO,
,RAL1100056,9.1,659,PIPO,
,RAL1100056,15.5,660,PIPO,
,RAL1100056,9.5,661,PIPO,
,RAL1100056,9.3,662,PIPO,
,RAL1100059,12.7,663,ABCO,
,RAL1100059,16.3,664,CADE27,
,RAL1100059,14.2,665,CADE27,
,RAL1100059,2.9,666,CADE27,
,RAL1100059,28.2,667,PSME,
,RAL1100092,28.3,668,CADE27,
,BST1100311,44.5,669,ABMA,
,BST1100311,3,670,ABMA,
,BST1100311,11.3,671,ABMA,
,BST1100311,10,672,ABCO,
,BST1100309,25,673,ABCO,
,BST1100309,33,674,ABCO,
,BST1100309,33,675,ABCO,
,BST1100309,31.6,676,ABCO,
,BST1100309,26.4,677,ABCO,
,BST1100309,32.2,678,ABCO,
,BST1100309,29.7,679,ABCO,
,BST1100309,14,680,ABCO,
,RAL1100093,90.1,681,PSME,
,RAL1100060,8.9,682,CADE27,
,RAL1100061,9,683,CADE27,
,RAL1100128,42.9,684,CADE27,
,RAL1100128,30.5,685,CADE27,
,RAL1100127,45.6,686,PIPO,
,RAL1100127,44.3,687,PIPO,
,RAL1100047,10.3,688,QUCH2,
,RAL1100047,10.3,689,QUCH2,
,RAL1100047,10.3,690,QUCH2,
,RAL1100047,10.3,691,QUCH2,
,RAL1100047,10.3,692,QUCH2,
,RAL1100047,10.3,693,QUCH2,
,RAL1100047,10.3,694,QUCH2,
,RAL1100047,10.3,695,QUCH2,
,RAL1100047,10.3,696,QUCH2,
,RAL1100047,10.3,697,QUCH2,
,RAL1100047,10.3,698,QUCH2,
,RAL1100047,10.3,699,QUCH2,
,RAL1100047,15.8,700,QUCH2,
,RAL1100012,38.3,701,PIPO,
,RAL1100012,25.7,702,PIPO,
,RAL1100012,36.6,703,PIPO,
,RAL1100011,21.5,704,PIPO,
,RAL1100011,61.2,705,PIPO,
,RAL1100011,42.2,706,PIPO,
,RAL1100042,15.4,707,QUCH2,
,RAL1100042,15.5,708,QUCH2,
,RAL1100042,22,709,QUCH2,
,RAL1100042,14,710,QUCH2,
,RAL1100042,17.3,711,QUCH2,
,RAL1100510,13.9,712,PIPO,
,RAL1100510,11.7,713,PIPO,
,RAL1100510,3.5,714,PIPO,
,RAL1100510,12.5,715,PIPO,
,RAL1100510,12.2,716,PIPO,
,RAL1100510,23.4,717,PIPO,
